title_norm,group,nn_dist,is_outlier,raw_novelty,novelty_z,novelty_ratio,is_lit_outlier
"protein crowding as an emergent mesoscale regulator of cytoplasmic viscosity, diffusion, and reaction rates",gpt-5.2,0.017116725,False,0.08684006,-0.38304764,0.78398114,False
"integration of cryo-em intermediates, rrna processing maps, and proteomics for explaining emergent ribosome assembly robustness",gpt-5.2,0.027138412,False,0.09592608,-0.23759542,0.8660086,False
"emergent computation in mesoscale signaling microclusters: a synthesis of immune receptor imaging, phosphoproteomics, and single-cell responses",gpt-5.2,0.017488122,False,0.088767275,-0.35219616,0.8013798,False
"integration of cryo-et, live imaging, and proteogenomics to explain emergent mitochondrial cristae morphodynamics and bioenergetic plasticity",gpt-5.2,0.015236139,False,0.095358856,-0.2466758,0.86088777,False
mesoscale assembly of viral replication compartments: a cross-virus synthesis of host factor recruitment and emergent replication efficiency,gpt-5.2,0.023417234,False,0.0991497,-0.18599069,0.89511096,False
"emergent nanomechanics of fungal and plant cell walls: composition, ultrastructure, and growth patterns",gpt-5.2,0.023101091,False,0.09467904,-0.2575585,0.85475045,False
"integration of spatial proteomics, imaging, and ubiquitinome data for mesoscale proteasome and autophagy hub organization",gpt-5.2,0.020173073,False,0.089793354,-0.3357703,0.8106431,False
"design rules for bacterial microcompartments: integrating genomes, structures, and metabolic flux to predict organelle function",gpt-5.2,0.011321187,False,0.09174584,-0.30451426,0.8282699,False
integration of structural proteomics and imaging to explain cargo selectivity in mesoscale vesicle coat self-organization,gpt-5.2,0.019214034,False,0.08927913,-0.3440022,0.8060007,False
"synthesis of fg-nup disorder, transport kinetics, and npc ultrastructure for mesoscale nuclear pore selectivity",gpt-5.2,0.017510772,False,0.095136516,-0.2502351,0.85888046,False
"mesoscale emergence in bacterial biofilm nanostructure: integrating omics, imaging, and rheology for predicting community robustness",gpt-5.2,0.018031597,False,0.09837267,-0.19842963,0.88809603,False
"integration of rnp structural states, proximity proteomics, and single-cell isoform variability in spliceosome nano-organization",gpt-5.2,0.017175257,False,0.095452756,-0.24517262,0.86173546,False
mesoscale organization of metabolic enzyme filaments: a cross-species synthesis of cytoophidia and emergent metabolic regulation,gpt-5.2,0.020527422,False,0.090302296,-0.32762298,0.81523776,False
nanoscale heterogeneity of endocytic pits: integrating single-molecule imaging and proteomics to explain uptake variability,gpt-5.2,0.022096217,False,0.08832605,-0.3592594,0.7973965,False
"mesoscale emergence of synaptic active zone nanoclusters through proteomics, super-resolution mapping, and functional plasticity",gpt-5.2,0.021266043,False,0.092174575,-0.2976509,0.83214045,False
emergent organelle size control through mesoscale substructure integration of imaging atlases and omics scaling laws,gpt-5.2,0.019456148,False,0.08860699,-0.35476202,0.7999328,False
"mesoscale emergence of dna damage repair foci through integrated live imaging, proteomics, and 3d genome context",gpt-5.2,0.017175257,False,0.09263064,-0.29035005,0.83625776,False
"emergent mesoscale patterning in bacterial division machinery: synthesis of ftsz ring architecture, dynamics, and cell shape outcomes",gpt-5.2,0.025637329,False,0.09970452,-0.1771089,0.90011984,False
"mesoscale emergence of exosome biogenesis microdomains through integrated endosomal proteomics, lipidomics, and imaging",gpt-5.2,0.021986485,False,0.08641465,-0.3898578,0.7801406,False
sequence grammar of mesoscale viscoelasticity in biomolecular condensates,gemini-3-pro-preview,0.021849394,False,0.09759353,-0.21090233,0.8810621,False
integration of 1d sequence and 3d topology for predicting nuclear stiffness via emergent chromatin rheology,gemini-3-pro-preview,0.027656078,False,0.095129244,-0.25035152,0.85881484,False
mapping transient metabolons through integrated interactomics to elucidate the emergence of metabolic channeling,gemini-3-pro-preview,0.14149499,True,0.15111366,0.6458667,1.364235,True
lipid raft dynamics and the emergence of signal fidelity during t-cell activation,gemini-3-pro-preview,0.021004438,False,0.09235118,-0.29482368,0.83373487,False
emergent mechanics of the cytoskeleton from molecular motors to cellular tensegrity,gemini-3-pro-preview,0.019269645,False,0.09155358,-0.30759206,0.82653415,False
emergent geometric principles of viral capsid polymorphism derived from identical subunits,gemini-3-pro-preview,0.02107209,False,0.10227597,-0.13594425,0.92333454,False
emergence of synaptic memory through nanocolumn organization and postsynaptic density stability,gemini-3-pro-preview,0.030674577,False,0.10078783,-0.15976682,0.9098999,False
data-driven modeling of emergent molecular selectivity within the nuclear pore complex,gemini-3-pro-preview,0.016217768,False,0.09382471,-0.271235,0.8470376,False
mitochondrial cristae morphodynamics and the emergence of bioenergetic efficiency,gemini-3-pro-preview,0.018355489,False,0.09649475,-0.22849202,0.87114245,False
ribosome collisions and the mechanisms of translational quality control,gemini-3-pro-preview,0.025566041,False,0.08852568,-0.35606363,0.7991987,False
hydrodynamic coupling and emergent synchronization mechanisms in ciliary arrays,gemini-3-pro-preview,0.027877033,False,0.097917676,-0.2057133,0.88398844,False
the extracellular matrix as mechanical memory: emergent reciprocity in tissue homeostasis,gemini-3-pro-preview,0.02250439,False,0.093449555,-0.27724054,0.8436508,False
emergent immune evasion mechanisms mediated by bulky glycan shields in the glycocalyx,gemini-3-pro-preview,0.16844225,True,0.15257254,0.66922104,1.3774056,True
symmetry breaking in the centrosome and the emergence of spindle bipolarity,gemini-3-pro-preview,0.027143538,False,0.089687645,-0.33746254,0.80968875,False
emergent membrane remodeling from protein scaffolds during autophagosome biogenesis,gemini-3-pro-preview,0.021497905,False,0.09549672,-0.2444688,0.8621324,False
emergent sorting mechanisms of rna phase separation in stress granules and p-bodies,gemini-3-pro-preview,0.024959803,False,0.09159935,-0.30685925,0.8269474,False
emergent proteostasis failure and the collapse of the chaperone network in aging,gemini-3-pro-preview,0.030642807,False,0.09068997,-0.32141694,0.8187376,False
the role of matrix architecture in emergent antibiotic resistance within microbial biofilms,gemini-3-pro-preview,0.018031597,False,0.09370147,-0.27320787,0.84592503,False
emergent signaling bias in gpcr oligomerization landscapes through allosteric modulation,gemini-3-pro-preview,0.029434323,False,0.09439485,-0.26210797,0.8521848,False
nuclear speckles as splicing hubs for the emergent amplification of gene expression,gemini-3-pro-preview,0.019110203,False,0.090510465,-0.32429054,0.8171171,False
thylakoid stacking and the emergence of photosynthetic robustness in plant systems,gemini-3-pro-preview,0.025144577,False,0.09383852,-0.27101386,0.84716237,False
mechanisms of exosome loading and sorting as emergent cellular communication packets,gemini-3-pro-preview,0.021310031,False,0.08781132,-0.36749938,0.7927495,False
predictive modeling of emergent life-like behaviors through synthetic cell component integration,gemini-3-pro-preview,0.02441293,False,0.085271806,-0.40815285,0.76982313,False
sequence determinants of intrinsically disordered regions in driving mesoscale condensate properties and phase separation,claude-opus-4-5,0.021849394,False,0.085766934,-0.40022665,0.77429307,False
temporal dynamics of ribosome clustering through integrated cryo-et and ribosome profiling for emergent translation factories,claude-opus-4-5,0.019816756,False,0.09108804,-0.3150445,0.82233137,False
"integrated structural, biophysical, and transport modeling of emergent collective gating in the nuclear pore complex",claude-opus-4-5,0.016217768,False,0.09077843,-0.32000083,0.81953627,False
"integrative modeling of emergent nuclear organization through hi-c, imaging, and epigenomic data synthesis",claude-opus-4-5,0.01411432,False,0.08472154,-0.41696164,0.76485544,False
discovery of long-range communication networks in protein complexes via structural database mining,claude-opus-4-5,0.020783484,False,0.08999139,-0.33260006,0.8124309,False
integration of structural and live-cell data for modeling emergent mechanical properties of mesoscale cytoskeletal crosstalk,claude-opus-4-5,0.019233823,False,0.08702619,-0.3800681,0.78566146,False
decoding signaling fidelity through integrated phosphoproteomics and structural analysis of kinase-substrate networks,claude-opus-4-5,0.12330437,True,0.20428574,1.4970641,1.8442659,True
"integration of structural, metabolomic, and interactome data for metabolon assembly and emergent metabolic channeling",claude-opus-4-5,0.020056367,False,0.0834572,-0.43720168,0.7534411,False
integration of structural and proteomic data for decoding cargo recognition networks in autophagy receptors,claude-opus-4-5,0.20447874,True,0.1860435,1.2050359,1.6795772,True
integration of structural dynamics and systems-level oscillations in emergent circadian protein network timing,claude-opus-4-5,0.026838958,False,0.08471686,-0.41703668,0.7648131,False
integration of cryo-et and bioenergetic data for modeling mesoscale energy transduction in mitochondrial cristae,claude-opus-4-5,0.015236139,False,0.08993627,-0.33348244,0.81193334,False
integration of structural and immunopeptidomic data for modeling emergent antigen processing in the immunoproteasome,claude-opus-4-5,0.02735871,False,0.09160373,-0.30678913,0.82698697,False
integration of structural and transport data for modeling crm1-mediated cargo recognition in nuclear export,claude-opus-4-5,0.028093934,False,0.09603038,-0.23592585,0.86695015,False
"emergent cooperativity in transcription factor clusters: integrating chip-seq, structural, and imaging data for enhancer activation modeling",claude-opus-4-5,0.019243598,False,0.080674365,-0.4817503,0.728318,False
integrated cryo-em and sequence analysis for modeling emergent viral capsid geometry from protein interactions,claude-opus-4-5,0.02107209,False,0.102265716,-0.13610835,0.923242,False
integration of structural and lipidomic data for modeling bar domain collective behavior in membrane curvature sensing,claude-opus-4-5,0.019233823,False,0.090600476,-0.32284963,0.8179297,False
integration of cryo-em structures and clinical data for modeling fibril architecture and pathological prion strain properties,claude-opus-4-5,0.02745223,False,0.09323624,-0.2806554,0.841725,False
modeling symmetry breaking in emergent cell polarity through integrated imaging and interactome data analysis,claude-opus-4-5,0.01962775,False,0.084722474,-0.41694674,0.76486385,False
integration of structural and proteomic data for decoding emergent specificity in ubiquitin chain recognition,claude-opus-4-5,0.025427222,False,0.09566516,-0.24177243,0.863653,False
integration of spatial transcriptomics and rna structure data for modeling emergent mrna targeting networks,claude-opus-4-5,0.019816756,False,0.09332477,-0.2792381,0.8425243,False
emergent mechanics of bacterial microcompartments: integrating structural and metabolic data for encapsulated pathway efficiency modeling,claude-opus-4-5,0.011321187,False,0.09013156,-0.3303562,0.8136964,False
integration of super-resolution and signaling data for modeling emergent receptor clustering and t cell activation thresholds,claude-opus-4-5,0.017488122,False,0.085655734,-0.4020068,0.7732892,False
integration of damage proteomics and chromatin data for modeling emergent dna repair pathway choice,claude-opus-4-5,0.021508455,False,0.08437602,-0.42249286,0.7617361,False
