proposal_uid,mesh_unique_terms_k20,source_group,source_type,title
persona::claude-sonnet-5::21,117,Claude,ai,From Transcript Counts to Molecular Choreography: A Bayesian Synthesis Framework Linking Spatial Expression Atlases to Single-Molecule Biophysical States of Trafficking Machinery
persona::claude-sonnet-5::22,77,Claude,ai,From Chemical Marks to Mesoscale Machines: A Multi-Omics and Molecular Dynamics Synthesis of How tRNA Modification Loss Drives Ribosome Collision Condensates and Translational Stress Phenotypes
persona::claude-sonnet-5::23,66,Claude,ai,Decoding the 'Organelle Signature' Landscape: A Genomic Deconvolution Framework for Discovering Novel Protein- and Lipid-Bounded Compartments Across Bacteria and Archaea
persona::gpt-5.5::01,88,GPT,ai,Circadian Control of Heat-Sensitive Mesoscale Assembly During Plant Cell Division
persona::gpt-5.5::02,77,GPT,ai,Cross-Scale Synthesis of Emergent Chromatin Microenvironments in Human Brain Cell Types
persona::gpt-5.5::03,159,GPT,ai,Contamination-Aware Synthesis of Microbiome Functional Modules Linked to Emergent Human Proteome and Metabolome States
persona::gpt-5.5::04,117,GPT,ai,"Predicting Emergent Mesoscale Organization in Bacteria from Public Multi-Omics, Sequence Features, and Cellular Phenotypes"
persona::gpt-5.5::05,69,GPT,ai,Predicting Emergent Proteostasis Network Rewiring from the Energetic Landscapes of Human Membrane Protein Variants
persona::gpt-5.5::06,127,GPT,ai,"A Multiscale Atlas Linking RNA-Protein Binding Grammar to Condensate Identity, Dynamics, and Cellular Routing"
persona::gpt-5.5::07,75,GPT,ai,A Cross-Kingdom Atlas of Sequence-to-Mesoscale Rules for Stress-Responsive Biomolecular Condensates
persona::gpt-5.5::08,89,GPT,ai,Mapping Emergent Drug-Tolerant Cell States from Extrachromosomal DNA and 3D Regulatory Architecture in Cancer Cell Lines
persona::gpt-5.5::09,133,GPT,ai,A Public Multimodal Atlas for Predicting Cytoskeletal Control of Cellular Architecture and Ciliary State
persona::gpt-5.5::10,86,GPT,ai,Emergent Regulatory Neighborhoods from Transposable-Element-Derived Transcription Factor Grammar Across Mammalian Cell States
persona::gpt-5.5::11,89,GPT,ai,A Residue-Resolved Public Data Atlas of Emergent Human Protein Assemblies
persona::gpt-5.5::12,79,GPT,ai,"Emergent Microbial Chemical Phenotypes from Public Metagenomic, Proteomic, and Untargeted Mass Spectrometry Data"
persona::gpt-5.5::13,125,GPT,ai,A Public-Data Atlas of Collective Allosteric State Variables Linking Nuclear Receptor Ligands to Transcriptional Phenotypes
persona::gpt-5.5::14,142,GPT,ai,From Entangled Proteins to Entangled Genomes: A Synthesis Framework Linking Molecular Topology of Chromatin Regulators to Emergent 3D Genome Organization
persona::gpt-5.5::15,81,GPT,ai,"Emergent Translational Reserve as a Multiscale Determinant of Skeletal Muscle Growth, Repair, and Inflammatory Failure"
persona::gpt-5.5::16,100,GPT,ai,A Public Data Atlas Linking Disordered-Region Sequence Grammar to Emergent Condensate Material States
persona::gpt-5.5::17,70,GPT,ai,A Comparative Multi-Omics Atlas of Reversible Metabolic Suppression Across Mammalian Hibernators
persona::gpt-5.5::18,86,GPT,ai,Predicting Condensate-Scale Emergence from Evolutionary and Structural Coupling Networks in Multivalent Proteins
persona::gpt-5.5::19,110,GPT,ai,Evolutionary Discovery of Metabolic Network Modules that Generate Mesoscale Membrane and Organelle Organization
persona::gpt-5.5::20,128,GPT,ai,Proteome Flux Codes for Emergent Mesoscale Remodeling During Cellular Stress and Disease
persona::gpt-5.5::21,74,GPT,ai,Inferring Conserved Mesoscale Kinetic Programs from Public Spatial Omics and Fluorescence Microscopy Atlases
persona::gpt-5.5::22,82,GPT,ai,Emergent Chromatin and Immune Cell States from tRNA Modification–Controlled Translation Dynamics
persona::gpt-5.5::23,67,GPT,ai,A Public-Data Atlas of Emergent Metal-Redox Compartmentalization Across Bacteria and Archaea
persona::gemini-3.1-pro-preview::01,80,Gemini,ai,Decoding Cytokinetic Resilience: Synthesizing Context-Specific Multi-Omic Networks to Understand Mesoscale Emergence Under Thermal Stress
persona::gemini-3.1-pro-preview::02,96,Gemini,ai,Decoding Mesoscale Emergence in the 3D Genome: Synthesizing Multi-Omic and Polymer Physics Data to Uncover IDP-Driven Chromatin Reorganization in Neuro-Immune Phenotypes
persona::gemini-3.1-pro-preview::03,108,Gemini,ai,Mapping Emergent Mesoscale Architectures at the Host-Microbiome Interface: A Deep-Time Proteogenomic Synthesis
persona::gemini-3.1-pro-preview::04,108,Gemini,ai,Mapping the Emergent Bacterial Condensome: Synthesizing Transcriptomic and Biophysical Data to Predict Mesoscale Organization in Pathogenesis and Stress Adaptation
persona::gemini-3.1-pro-preview::05,108,Gemini,ai,Emergent Mesoscale Dynamics from Molecular Thermodynamics: Synthesizing Protein Mutational Landscapes and Single-Cell Interactomes
persona::gemini-3.1-pro-preview::06,129,Gemini,ai,Decoding the Structural and Network Grammar of RNA-Driven Emergence in Biomolecular Condensates
persona::gemini-3.1-pro-preview::07,75,Gemini,ai,Decoding the Mesoscale Molecular Grammar: Synthesizing Physical Principles of Condensate Ultrastructure and Emulsion Stability
persona::gemini-3.1-pro-preview::08,101,Gemini,ai,AI-Driven Synthesis of Mesoscale Chromatin and Protein Networks to Decode Emergent Cellular Plasticity and Immune Evasion
persona::gemini-3.1-pro-preview::09,129,Gemini,ai,Uncovering Emergent Rules of Mesoscale Organelle Remodeling by Integrating Volumetric Imaging Atlases and Stochastic Biophysical Models via Optimal Transport
persona::gemini-3.1-pro-preview::10,76,Gemini,ai,Decoding the Emergence of Mesoscale Regulatory Networks Driven by Transposable Elements through Cross-Species Epigenomic Data Synthesis
persona::gemini-3.1-pro-preview::11,99,Gemini,ai,Mapping Emergent Mesoscale Architectures by Synthesizing the Global Crosslinking Mass Spectrometry and Genetic Interactome Archives
persona::gemini-3.1-pro-preview::12,114,Gemini,ai,Uncovering Mesoscale Emergence in Microbial Dark Matter through AI-Driven Synthesis of Metagenomic and Mass Spectrometry Data
persona::gemini-3.1-pro-preview::13,69,Gemini,ai,Evolutionary Origins of Mesoscale Signaling: An AI-Driven Synthesis of Exascale Dynamics and Ancestral Allosteric Networks
persona::gemini-3.1-pro-preview::14,87,Gemini,ai,Emergent Topologies at the Mesoscale: Synthesizing Protein Entanglement and 3D Genome Architecture through AI and Polymer Physics
persona::gemini-3.1-pro-preview::15,119,Gemini,ai,Deciphering the Mesoscale Emergence of Skeletal Muscle Adaptation: A GPU-Accelerated Multi-Omic and Mathematical Synthesis of Ribosome Dynamics under Competing Stresses
persona::gemini-3.1-pro-preview::16,117,Gemini,ai,Deciphering the Grammar of Emergence: Predicting Mesoscale Condensate Properties from Evolutionary Constraints and Polymer Physics in Intrinsically Disordered Regions
persona::gemini-3.1-pro-preview::17,120,Gemini,ai,Evolutionary Synthesis of Multi-Omics Data to Uncover Mesoscale Emergence in Mammalian Metabolic Suppression
persona::gemini-3.1-pro-preview::18,71,Gemini,ai,Synthesizing Evolutionary and Biophysical Landscapes to Predict the Emergence of Mesoscale Biomolecular Condensates
persona::gemini-3.1-pro-preview::19,89,Gemini,ai,Emergent Metabolic Landscapes: Synthesizing Deep Learning and Genome-Scale Modeling to Decode the Evolutionary Rewiring of Cellular Metabolism
persona::gemini-3.1-pro-preview::20,59,Gemini,ai,Mapping the Emergent Collapse of Mesoscale Proteostasis Networks in Aging and Stress
persona::gemini-3.1-pro-preview::21,115,Gemini,ai,A Bayesian Synthesis Framework for Predicting the Emergence of Mesoscale Ribonucleoprotein Compartmentalization from Public Spatial Transcriptomic and Single-Molecule Datasets
persona::gemini-3.1-pro-preview::22,156,Gemini,ai,Synthesizing Multi-Omic and Structural Data to Decode the Emergent Mesoscale Organization of Epigenetic and Epitranscriptomic Networks
persona::gemini-3.1-pro-preview::23,59,Gemini,ai,"Synthesizing the Global Repertoire of Microbial Mesoscale Compartments: Emergence, Pathogenesis, and Bioengineering Potential from Public Omics Data"
