proposal_uid,bertopic_region_entropy,bertopic_max_region_weight,bertopic_unique_regions,bertopic_dominant_region,bertopic_dominant_label,source_group,source_type,title
persona::claude-sonnet-5::09,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Cross-Scale Morphodynamic Grammar of Membrane-Bound Organelle Shape Change: Integrating Whole-Cell Volumetric Imaging with Cytoskeletal Agent-Based Simulations to Learn Generalizable Rules of Mesoscale Shape Transitions
persona::claude-sonnet-5::10,1.5128876215181604,0.45,3,7,"transgene expression, metabolite production, study illustrates, precise genome",Claude,ai,Transposon-Seeded Cooperativity: Synthesizing Cross-Species Epigenomic Atlases to Test Whether Transposable Elements Drive the Emergence of Mesoscale Chromatin Hubs
persona::claude-sonnet-5::11,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Beyond Binary Interactions: Synthesizing Public Crosslinking Mass Spectrometry Data to Map Emergent Mesoscale Protein Assemblies Across Human Tissues
persona::claude-sonnet-5::12,1.4387586809150081,0.55,3,7,"transgene expression, metabolite production, study illustrates, precise genome",Claude,ai,Closing the Genotype–Metabolite Gap: A Cross-Repository Synthesis Linking Microbial Genomic Potential to Untargeted Mass Spectrometry Signatures of Chemical Novelty
persona::claude-sonnet-5::13,0.747584679824574,0.85,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"A Cross-Family Atlas of Emergent Allosteric Order Parameters: Synthesizing Structural Ensembles, Deep Mutational Scans, and Ancestral Sequence Data to Discover Universal Rules of Protein Regulation"
persona::claude-sonnet-5::14,0.4689955935892812,0.9,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Entanglement as an Emergent Design Constraint: Cross-Scale Synthesis of Protein Topology, Translation Kinetics, and Proteostasis Networks"
persona::claude-sonnet-5::15,0.8112781244591328,0.75,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Nucleolar Condensate Scaling Laws as a Mesoscale Determinant of Ribosome Biogenesis Capacity and Skeletal Muscle Hypertrophy: A Multi-Omic, GPU-Accelerated Synthesis"
persona::claude-sonnet-5::16,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,"A Cross-Species Physical Grammar Atlas: Testing Whether Conserved Polymer Physics, Not Conserved Sequence, Governs Emergent Condensate Material Properties"
persona::claude-sonnet-5::17,0.6098403047164004,0.85,2,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Emergent Mesoscale Regulation of Torpor: A Cross-Species Synthesis of Biomolecular Condensates and Mitochondrial Reorganization in Independently Evolved Hibernators
persona::claude-sonnet-5::18,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,"From Residue Couplings to Circuit Memory: A Cross-Scale Synthesis Linking Coevolutionary Statistics, Allosteric Dynamics, and Phase-Separation Propensity to Regulatory Network Hysteresis"
persona::claude-sonnet-5::19,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,"Flux, Function, and Fitness: A Cross-Species Synthesis Linking Genome-Scale Metabolic Network Architecture to Signatures of Natural Selection"
persona::claude-sonnet-5::20,1.1883763717345073,0.6,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Mesoscale Coordination of Proteome Turnover: Synthesizing Public Degradation Kinetics with Complex, Condensate, and Disorder Architecture to Discover Emergent Proteostasis Modules"
persona::claude-sonnet-5::21,1.2344977967946407,0.5,3,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",Claude,ai,From Transcript Counts to Molecular Choreography: A Bayesian Synthesis Framework Linking Spatial Expression Atlases to Single-Molecule Biophysical States of Trafficking Machinery
persona::claude-sonnet-5::22,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,From Chemical Marks to Mesoscale Machines: A Multi-Omics and Molecular Dynamics Synthesis of How tRNA Modification Loss Drives Ribosome Collision Condensates and Translational Stress Phenotypes
persona::claude-sonnet-5::23,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Decoding the 'Organelle Signature' Landscape: A Genomic Deconvolution Framework for Discovering Novel Protein- and Lipid-Bounded Compartments Across Bacteria and Archaea
persona::gpt-5.5::01,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,Circadian Control of Heat-Sensitive Mesoscale Assembly During Plant Cell Division
persona::gpt-5.5::02,0.8812908992306927,0.7,2,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",GPT,ai,Cross-Scale Synthesis of Emergent Chromatin Microenvironments in Human Brain Cell Types
persona::gpt-5.5::03,0.4689955935892812,0.9,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,Contamination-Aware Synthesis of Microbiome Functional Modules Linked to Emergent Human Proteome and Metabolome States
persona::gpt-5.5::04,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Predicting Emergent Mesoscale Organization in Bacteria from Public Multi-Omics, Sequence Features, and Cellular Phenotypes"
persona::gpt-5.5::05,0.7219280948873623,0.8,2,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",GPT,ai,Predicting Emergent Proteostasis Network Rewiring from the Energetic Landscapes of Human Membrane Protein Variants
persona::gpt-5.5::06,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"A Multiscale Atlas Linking RNA-Protein Binding Grammar to Condensate Identity, Dynamics, and Cellular Routing"
persona::gpt-5.5::07,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,A Cross-Kingdom Atlas of Sequence-to-Mesoscale Rules for Stress-Responsive Biomolecular Condensates
persona::gpt-5.5::08,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,Mapping Emergent Drug-Tolerant Cell States from Extrachromosomal DNA and 3D Regulatory Architecture in Cancer Cell Lines
persona::gpt-5.5::09,0.8112781244591328,0.75,2,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",GPT,ai,A Public Multimodal Atlas for Predicting Cytoskeletal Control of Cellular Architecture and Ciliary State
persona::gpt-5.5::10,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,Emergent Regulatory Neighborhoods from Transposable-Element-Derived Transcription Factor Grammar Across Mammalian Cell States
persona::gpt-5.5::11,0.8112781244591328,0.75,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,A Residue-Resolved Public Data Atlas of Emergent Human Protein Assemblies
persona::gpt-5.5::12,1.236160254373812,0.65,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Emergent Microbial Chemical Phenotypes from Public Metagenomic, Proteomic, and Untargeted Mass Spectrometry Data"
persona::gpt-5.5::13,0.9709505944546686,0.6,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,A Public-Data Atlas of Collective Allosteric State Variables Linking Nuclear Receptor Ligands to Transcriptional Phenotypes
persona::gpt-5.5::14,1.1411535278793055,0.65,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,From Entangled Proteins to Entangled Genomes: A Synthesis Framework Linking Molecular Topology of Chromatin Regulators to Emergent 3D Genome Organization
persona::gpt-5.5::15,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Emergent Translational Reserve as a Multiscale Determinant of Skeletal Muscle Growth, Repair, and Inflammatory Failure"
persona::gpt-5.5::16,0.4689955935892812,0.9,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,A Public Data Atlas Linking Disordered-Region Sequence Grammar to Emergent Condensate Material States
persona::gpt-5.5::17,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,A Comparative Multi-Omics Atlas of Reversible Metabolic Suppression Across Mammalian Hibernators
persona::gpt-5.5::18,0.9709505944546686,0.6,2,7,"transgene expression, metabolite production, study illustrates, precise genome",GPT,ai,Predicting Condensate-Scale Emergence from Evolutionary and Structural Coupling Networks in Multivalent Proteins
persona::gpt-5.5::19,0.4689955935892812,0.9,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,Evolutionary Discovery of Metabolic Network Modules that Generate Mesoscale Membrane and Organelle Organization
persona::gpt-5.5::20,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,Proteome Flux Codes for Emergent Mesoscale Remodeling During Cellular Stress and Disease
persona::gpt-5.5::21,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,Inferring Conserved Mesoscale Kinetic Programs from Public Spatial Omics and Fluorescence Microscopy Atlases
persona::gpt-5.5::22,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,Emergent Chromatin and Immune Cell States from tRNA Modification–Controlled Translation Dynamics
persona::gpt-5.5::23,1.4609640474436811,0.5,4,10,"editorial emerging, author correction, g2 phase, model pd",GPT,ai,A Public-Data Atlas of Emergent Metal-Redox Compartmentalization Across Bacteria and Archaea
persona::gemini-3.1-pro-preview::01,0.4689955935892812,0.9,2,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Decoding Cytokinetic Resilience: Synthesizing Context-Specific Multi-Omic Networks to Understand Mesoscale Emergence Under Thermal Stress
persona::gemini-3.1-pro-preview::02,0.8812908992306927,0.7,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Decoding Mesoscale Emergence in the 3D Genome: Synthesizing Multi-Omic and Polymer Physics Data to Uncover IDP-Driven Chromatin Reorganization in Neuro-Immune Phenotypes
persona::gemini-3.1-pro-preview::03,1.1883763717345073,0.6,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Gemini,ai,Mapping Emergent Mesoscale Architectures at the Host-Microbiome Interface: A Deep-Time Proteogenomic Synthesis
persona::gemini-3.1-pro-preview::04,1.4854752972273344,0.5,3,7,"transgene expression, metabolite production, study illustrates, precise genome",Gemini,ai,Mapping the Emergent Bacterial Condensome: Synthesizing Transcriptomic and Biophysical Data to Predict Mesoscale Organization in Pathogenesis and Stress Adaptation
persona::gemini-3.1-pro-preview::05,0.6098403047164004,0.85,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Emergent Mesoscale Dynamics from Molecular Thermodynamics: Synthesizing Protein Mutational Landscapes and Single-Cell Interactomes
persona::gemini-3.1-pro-preview::06,0.4689955935892812,0.9,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Decoding the Structural and Network Grammar of RNA-Driven Emergence in Biomolecular Condensates
persona::gemini-3.1-pro-preview::07,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Decoding the Mesoscale Molecular Grammar: Synthesizing Physical Principles of Condensate Ultrastructure and Emulsion Stability
persona::gemini-3.1-pro-preview::08,1.236160254373812,0.65,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Gemini,ai,AI-Driven Synthesis of Mesoscale Chromatin and Protein Networks to Decode Emergent Cellular Plasticity and Immune Evasion
persona::gemini-3.1-pro-preview::09,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Uncovering Emergent Rules of Mesoscale Organelle Remodeling by Integrating Volumetric Imaging Atlases and Stochastic Biophysical Models via Optimal Transport
persona::gemini-3.1-pro-preview::10,0.747584679824574,0.85,3,7,"transgene expression, metabolite production, study illustrates, precise genome",Gemini,ai,Decoding the Emergence of Mesoscale Regulatory Networks Driven by Transposable Elements through Cross-Species Epigenomic Data Synthesis
persona::gemini-3.1-pro-preview::11,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Mapping Emergent Mesoscale Architectures by Synthesizing the Global Crosslinking Mass Spectrometry and Genetic Interactome Archives
persona::gemini-3.1-pro-preview::12,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Uncovering Mesoscale Emergence in Microbial Dark Matter through AI-Driven Synthesis of Metagenomic and Mass Spectrometry Data
persona::gemini-3.1-pro-preview::13,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Evolutionary Origins of Mesoscale Signaling: An AI-Driven Synthesis of Exascale Dynamics and Ancestral Allosteric Networks
persona::gemini-3.1-pro-preview::14,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Emergent Topologies at the Mesoscale: Synthesizing Protein Entanglement and 3D Genome Architecture through AI and Polymer Physics
persona::gemini-3.1-pro-preview::15,1.319035274338866,0.7,4,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Deciphering the Mesoscale Emergence of Skeletal Muscle Adaptation: A GPU-Accelerated Multi-Omic and Mathematical Synthesis of Ribosome Dynamics under Competing Stresses
persona::gemini-3.1-pro-preview::16,0.8812908992306927,0.7,2,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Gemini,ai,Deciphering the Grammar of Emergence: Predicting Mesoscale Condensate Properties from Evolutionary Constraints and Polymer Physics in Intrinsically Disordered Regions
persona::gemini-3.1-pro-preview::17,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Evolutionary Synthesis of Multi-Omics Data to Uncover Mesoscale Emergence in Mammalian Metabolic Suppression
persona::gemini-3.1-pro-preview::18,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Synthesizing Evolutionary and Biophysical Landscapes to Predict the Emergence of Mesoscale Biomolecular Condensates
persona::gemini-3.1-pro-preview::19,0.5689955935892812,0.9,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Emergent Metabolic Landscapes: Synthesizing Deep Learning and Genome-Scale Modeling to Decode the Evolutionary Rewiring of Cellular Metabolism
persona::gemini-3.1-pro-preview::20,1.0,0.5,2,7,"transgene expression, metabolite production, study illustrates, precise genome",Gemini,ai,Mapping the Emergent Collapse of Mesoscale Proteostasis Networks in Aging and Stress
persona::gemini-3.1-pro-preview::21,1.2344977967946407,0.5,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Gemini,ai,A Bayesian Synthesis Framework for Predicting the Emergence of Mesoscale Ribonucleoprotein Compartmentalization from Public Spatial Transcriptomic and Single-Molecule Datasets
persona::gemini-3.1-pro-preview::22,0.5689955935892812,0.9,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Synthesizing Multi-Omic and Structural Data to Decode the Emergent Mesoscale Organization of Epigenetic and Epitranscriptomic Networks
persona::gemini-3.1-pro-preview::23,0.8112781244591328,0.75,2,10,"editorial emerging, author correction, g2 phase, model pd",Gemini,ai,"Synthesizing the Global Repertoire of Microbial Mesoscale Compartments: Emergence, Pathogenesis, and Bioengineering Potential from Public Omics Data"
