proposal_uid,bertopic_topic,bertopic_label,neighbor_count,neighbor_weight
persona::claude-sonnet-5::21,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",1,0.05
persona::claude-sonnet-5::22,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
persona::claude-sonnet-5::23,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
persona::gpt-5.5::01,1,"details use execution, myosin motors, nascent chain, origin life",19,0.95
persona::gpt-5.5::01,8,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",1,0.05
persona::gpt-5.5::02,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",14,0.7
persona::gpt-5.5::02,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",6,0.3
persona::gpt-5.5::03,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",18,0.9
persona::gpt-5.5::03,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",2,0.1
persona::gpt-5.5::04,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",20,1.0
persona::gpt-5.5::05,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",16,0.8
persona::gpt-5.5::05,7,"transgene expression, metabolite production, study illustrates, precise genome",4,0.2
persona::gpt-5.5::06,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",20,1.0
persona::gpt-5.5::07,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
persona::gpt-5.5::08,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",20,1.0
persona::gpt-5.5::09,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",15,0.75
persona::gpt-5.5::09,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",5,0.25
persona::gpt-5.5::10,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
persona::gpt-5.5::11,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",15,0.75
persona::gpt-5.5::11,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",5,0.25
persona::gpt-5.5::12,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",13,0.65
persona::gpt-5.5::12,7,"transgene expression, metabolite production, study illustrates, precise genome",5,0.25
persona::gpt-5.5::12,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",2,0.1
persona::gpt-5.5::13,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",8,0.4
persona::gpt-5.5::13,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",12,0.6
persona::gpt-5.5::14,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",13,0.65
persona::gpt-5.5::14,7,"transgene expression, metabolite production, study illustrates, precise genome",6,0.3
persona::gpt-5.5::14,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",1,0.05
persona::gpt-5.5::15,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",20,1.0
persona::gpt-5.5::16,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",18,0.9
persona::gpt-5.5::16,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",2,0.1
persona::gpt-5.5::17,1,"details use execution, myosin motors, nascent chain, origin life",19,0.95
persona::gpt-5.5::17,2,"role intercellular communication, testicular torsion, nanoparticle tracking analysis, mir 21 5p",1,0.05
persona::gpt-5.5::18,7,"transgene expression, metabolite production, study illustrates, precise genome",12,0.6
persona::gpt-5.5::18,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",8,0.4
persona::gpt-5.5::19,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",18,0.9
persona::gpt-5.5::19,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",2,0.1
persona::gpt-5.5::20,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",19,0.95
persona::gpt-5.5::20,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",1,0.05
persona::gpt-5.5::21,1,"details use execution, myosin motors, nascent chain, origin life",19,0.95
persona::gpt-5.5::21,2,"role intercellular communication, testicular torsion, nanoparticle tracking analysis, mir 21 5p",1,0.05
persona::gpt-5.5::22,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
persona::gpt-5.5::23,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",1,0.05
persona::gpt-5.5::23,7,"transgene expression, metabolite production, study illustrates, precise genome",8,0.4
persona::gpt-5.5::23,10,"editorial emerging, author correction, g2 phase, model pd",10,0.5
persona::gpt-5.5::23,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1,0.05
persona::gemini-3.1-pro-preview::01,1,"details use execution, myosin motors, nascent chain, origin life",18,0.9
persona::gemini-3.1-pro-preview::01,8,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",2,0.1
persona::gemini-3.1-pro-preview::02,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",14,0.7
persona::gemini-3.1-pro-preview::02,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",6,0.3
persona::gemini-3.1-pro-preview::03,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",12,0.6
persona::gemini-3.1-pro-preview::03,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",7,0.35
persona::gemini-3.1-pro-preview::03,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
persona::gemini-3.1-pro-preview::04,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",4,0.2
persona::gemini-3.1-pro-preview::04,7,"transgene expression, metabolite production, study illustrates, precise genome",10,0.5
persona::gemini-3.1-pro-preview::04,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",6,0.3
persona::gemini-3.1-pro-preview::05,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",17,0.85
persona::gemini-3.1-pro-preview::05,7,"transgene expression, metabolite production, study illustrates, precise genome",3,0.15
persona::gemini-3.1-pro-preview::06,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",18,0.9
persona::gemini-3.1-pro-preview::06,7,"transgene expression, metabolite production, study illustrates, precise genome",2,0.1
persona::gemini-3.1-pro-preview::07,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
persona::gemini-3.1-pro-preview::08,7,"transgene expression, metabolite production, study illustrates, precise genome",5,0.25
persona::gemini-3.1-pro-preview::08,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",13,0.65
persona::gemini-3.1-pro-preview::08,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",2,0.1
persona::gemini-3.1-pro-preview::09,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",19,0.95
persona::gemini-3.1-pro-preview::09,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
persona::gemini-3.1-pro-preview::10,7,"transgene expression, metabolite production, study illustrates, precise genome",17,0.85
persona::gemini-3.1-pro-preview::10,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",1,0.05
persona::gemini-3.1-pro-preview::10,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",2,0.1
persona::gemini-3.1-pro-preview::11,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",19,0.95
persona::gemini-3.1-pro-preview::11,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",1,0.05
persona::gemini-3.1-pro-preview::12,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",20,1.0
persona::gemini-3.1-pro-preview::13,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
persona::gemini-3.1-pro-preview::14,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
persona::gemini-3.1-pro-preview::15,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",14,0.7
persona::gemini-3.1-pro-preview::15,7,"transgene expression, metabolite production, study illustrates, precise genome",3,0.15
persona::gemini-3.1-pro-preview::15,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",2,0.1
persona::gemini-3.1-pro-preview::15,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",1,0.05
persona::gemini-3.1-pro-preview::16,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",14,0.7
persona::gemini-3.1-pro-preview::16,7,"transgene expression, metabolite production, study illustrates, precise genome",6,0.3
persona::gemini-3.1-pro-preview::17,1,"details use execution, myosin motors, nascent chain, origin life",19,0.95
persona::gemini-3.1-pro-preview::17,8,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",1,0.05
persona::gemini-3.1-pro-preview::18,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
persona::gemini-3.1-pro-preview::19,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",18,0.9
persona::gemini-3.1-pro-preview::19,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",1,0.05
persona::gemini-3.1-pro-preview::19,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
persona::gemini-3.1-pro-preview::20,7,"transgene expression, metabolite production, study illustrates, precise genome",10,0.5
persona::gemini-3.1-pro-preview::20,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",10,0.5
persona::gemini-3.1-pro-preview::21,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",10,0.5
persona::gemini-3.1-pro-preview::21,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",9,0.45
persona::gemini-3.1-pro-preview::21,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
persona::gemini-3.1-pro-preview::22,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",18,0.9
persona::gemini-3.1-pro-preview::22,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
persona::gemini-3.1-pro-preview::22,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",1,0.05
persona::gemini-3.1-pro-preview::23,10,"editorial emerging, author correction, g2 phase, model pd",15,0.75
persona::gemini-3.1-pro-preview::23,7,"transgene expression, metabolite production, study illustrates, precise genome",5,0.25
