condition,task,text_version,field,comparison,facet,metric,is_primary,param,human_value,ai_value,effect_size,effect_type,ci_lo,ci_hi,human_ci_lo,human_ci_hi,inference,stat,p_raw,p_fdr,n_human,n_ai,n_perm_or_sub,parity_ref,notes,ratio,log2ratio,z_generation,delta_filtering_aligned
baseline,proposals,original,whole,human_vs_claude,dimensionality,participation_ratio,True,,13.531231771987528,15.489140150449218,-1.9579083784616904,diff,14.719529778967267,15.29004020369269,12.855180180350075,13.892471956368611,permutation,-1.9579083784616904,0.1861813818618138,,23.0,23.0,10000.0,1.0,,1.1446955023351952,0.19496388155890484,0.8493316738000404,0.6363636363636364
baseline,proposals,original,whole,human_vs_claude,dimensionality,effective_rank,False,,17.0183594334793,18.20376271623913,-1.1854032827598289,diff,17.346425541172128,17.675238487855335,16.206842163453157,16.85728932182951,permutation,-1.1854032827598289,0.1894810518948105,0.2440286274402862,23.0,23.0,10000.0,1.0,,1.0696543804585446,0.09714471798551395,,
baseline,proposals,original,whole,human_vs_claude,evenness,ripley_excess,True,r=pooled_q01_q50,-0.0757359439503599,0.2075493621068077,0.2075493621068077,envelope_area,,,,,global_envelope,10.004178091134618,0.001,,23.0,23.0,999.0,1.0,AI excess short-range mass vs pooled-cloud null (M=999); human excess = -0.07574 (env p = 0.076); simultaneous envelope,-2.7404340829612304,,-5.259852133326076,-0.5652173913043478
baseline,proposals,original,whole,human_vs_gemini,spread,mean_pairwise,True,,0.0920805481225172,0.139575638224595,0.659717908467292,ratio,0.1125036292481045,0.1433584796806317,0.0895229536605494,0.093521728221825,permutation,-0.0474950901020778,0.9787021297870212,,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",1.5157993851088236,0.6000788265562038,1.6535926211358245,-0.217391304347826
baseline,proposals,original,whole,human_vs_gemini,spread,centroid_loo,False,,0.3077511553960533,0.329220869932025,0.9347862893977388,ratio,0.3090531842219449,0.3336636944899244,0.3040528726715718,0.3106352679639131,permutation,-0.0214697145359717,0.982001799820018,1.0,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",1.0697632296728237,0.0972915207612198,,
baseline,proposals,original,whole,human_vs_gemini,spread,mst_dispersion,False,,0.0612108143988316,0.0866617584063888,0.7063186291673386,ratio,0.0727470001090333,0.0897137897066447,0.0600712164780315,0.0625857892249784,permutation,-0.0254509440075571,0.944105589441056,1.0,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",1.415791625344606,0.5016089467744139,,
baseline,proposals,original,whole,human_vs_gemini,spread,sparseness,False,,0.0760741004601474,0.0992097041994557,0.7668010007086057,ratio,0.0849749101761076,0.1021668834134146,0.0748018786553479,0.077297220042691,permutation,-0.0231356037393083,0.8923107689231077,0.9850183812787552,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",1.3041193204963133,0.38307587510039,,
baseline,proposals,original,whole,human_vs_gemini,spread,nn_isolation,False,,0.0583124382798641,0.0835021247173927,0.6983347846203748,ratio,0.0700762357204171,0.0866688496658109,0.057092895895511,0.0605569268591522,permutation,-0.0251896864375286,0.9109089091090892,0.9969174756344108,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",1.4319779309627474,0.518009258568689,,
baseline,proposals,original,whole,human_vs_gemini,spread,spherical_variance,False,,0.0450534287355304,0.0691440134020892,0.6515882795743112,ratio,0.055357453895002,0.070937131280797,0.0436809189181763,0.045678640076336,permutation,-0.0240905846665587,0.9798020197980202,1.0,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",1.5347114602081393,0.6179674412266526,,
baseline,proposals,original,whole,human_vs_gemini,richness,vendi,False,q=0,23.0,23.0,1.0,ratio,22.0,22.0,22.0,22.0,permutation,0.0,1.0,1.0,23.0,23.0,10000.0,1.0,,1.0,0.0,,
baseline,proposals,original,whole,human_vs_gemini,richness,vendi,True,q=1,1.7279295553100062,1.87084320370303,0.9236100341759536,ratio,1.7481847719147732,1.88212759432519,1.6987806807470558,1.7324603929108398,permutation,-0.1429136483930237,0.9822017798220178,,23.0,23.0,10000.0,1.0,,1.08270802936025,0.11464424813170933,1.4692853191509443,-0.1304347826086956
baseline,proposals,original,whole,human_vs_gemini,richness,vendi,False,q=2,1.2012668572196157,1.2642788800613878,0.9501597125163456,ratio,1.2203302407455865,1.271100700732634,1.194506410673627,1.2043757807957731,permutation,-0.0630120228417721,0.984001599840016,1.0,23.0,23.0,10000.0,1.0,,1.0524546419166314,0.07375805819236317,,
baseline,proposals,original,whole,human_vs_gemini,richness,vendi,False,q=1;kernel=rbf;sigma=0.5x_median,19.107538219942175,18.264590483572736,1.0461520195116112,ratio,,,,,permutation,0.8429477363694389,0.181981801819818,0.2355602003251451,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.9558840219673265,-0.06509250919468437,,
baseline,proposals,original,whole,human_vs_gemini,richness,vendi,False,q=1;kernel=rbf;sigma=1.0x_median,5.705183622488686,5.428935395894944,1.0508844195866884,ratio,,,,,permutation,0.2762482265937427,0.7387261273872613,0.8272133312984491,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.9515794328678874,-0.07160400473440671,,
baseline,proposals,original,whole,human_vs_gemini,richness,vendi,False,q=1;kernel=rbf;sigma=2.0x_median,1.9543526242695473,2.0607927081128574,0.9483499318372582,ratio,,,,,permutation,-0.1064400838433101,0.9811018898110188,1.0,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),1.0544630904993888,0.07650859718430625,,
baseline,proposals,original,whole,human_vs_gemini,evenness,vendi_slope,False,q=0..2,0.9477710062078428,0.9450313530408092,-0.0027396531670335,diff,0.942222695421244,0.9445304436024732,0.945255646327465,0.9457042540602896,permutation,0.0027396531670335,0.984001599840016,1.0,23.0,23.0,10000.0,1.0,relative VS0->VS2 drop (spec 4.2); larger = few dominant modes = less even; effect = AI - Human,0.9971093722543852,-0.004176333338402372,,
baseline,proposals,original,whole,human_vs_gemini,coverage,coverage_geometric,False,k=2,0.8181818181818182,0.2608695652173913,0.2608695652173913,coverage,0.4545454545454545,1.0,,,split_half_reference,0.2608695652173913,0.0019980019980019,0.0029450318467659,23.0,23.0,1000.0,0.8181818181818182,density=0.2609; human_value = median human split-half coverage (parity ref); ci = split-half band,0.3188405797101449,-1.6490928381408718,,
baseline,proposals,original,whole,human_vs_gemini,coverage,coverage_geometric,True,k=3,1.0,0.391304347826087,0.391304347826087,coverage,0.5454545454545454,1.0,,,split_half_reference,0.391304347826087,0.0019980019980019,,23.0,23.0,1000.0,1.0,density=0.2464; human_value = median human split-half coverage (parity ref); ci = split-half band,0.391304347826087,-1.3536369546147005,-4.089216615039527,
baseline,proposals,original,whole,human_vs_gemini,coverage,coverage_geometric,False,k=5,1.0,0.6086956521739131,0.6086956521739131,coverage,0.8181818181818182,1.0,,,split_half_reference,0.6086956521739131,0.0019980019980019,0.0029450318467659,23.0,23.0,1000.0,1.0,density=0.2435; human_value = median human split-half coverage (parity ref); ci = split-half band,0.6086956521739131,-0.7162070339994087,,
baseline,proposals,original,whole,human_vs_gemini,dimensionality,participation_ratio,True,,13.531231771987528,4.134504642909571,9.396727129077956,diff,3.907668158270217,9.253281288577558,12.855180180350075,13.892471956368611,permutation,9.396727129077956,0.340965903409659,,23.0,23.0,10000.0,1.0,,0.305552717785003,-1.7105067815354267,-1.8208141634439083,0.3636363636363636
baseline,proposals,original,whole,human_vs_gemini,dimensionality,effective_rank,False,,17.0183594334793,9.11643928288174,7.90192015059756,diff,8.536574339426286,12.847085778055046,16.206842163453157,16.85728932182951,permutation,7.90192015059756,0.1793820617938206,0.2333797232521645,23.0,23.0,10000.0,1.0,,0.5356826149145412,-0.9005496194076874,,
baseline,proposals,original,whole,human_vs_gemini,evenness,ripley_excess,True,r=pooled_q01_q50,-0.0757359439503599,-0.0208450630733075,-0.0208450630733075,envelope_area,,,,,global_envelope,0.919093006049528,0.818,,23.0,23.0,999.0,1.0,AI excess short-range mass vs pooled-cloud null (M=999); human excess = -0.07574 (env p = 0.076); simultaneous envelope,0.2752334226793306,-1.86127242206425,0.5282692674286841,-0.1304347826086956
baseline,proposals,original,whole,human_vs_gpt,spread,mean_pairwise,True,,0.0920805481225172,0.0537871926209206,1.7119418886848967,ratio,0.0526575165319267,0.054768958431079,0.0895229536605494,0.093521728221825,permutation,0.0382933555015966,9.999000099990002e-05,,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.584131977031179,-0.7756337307524889,-1.6189615962242705,-0.7391304347826086
baseline,proposals,original,whole,human_vs_gpt,spread,centroid_loo,False,,0.3077511553960533,0.2356665513227353,1.3058754145156608,ratio,0.2335479184160691,0.2382648008126103,0.3040528726715718,0.3106352679639131,permutation,0.0720846040733179,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7657698344607339,-0.38501726485215726,,
baseline,proposals,original,whole,human_vs_gpt,spread,mst_dispersion,False,,0.0612108143988316,0.0372478294006385,1.6433390987820176,ratio,0.0367115131669325,0.0380244242844724,0.0600712164780315,0.0625857892249784,permutation,0.0239629849981931,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.6085171348635003,-0.7166302074051345,,
baseline,proposals,original,whole,human_vs_gpt,spread,sparseness,False,,0.0760741004601474,0.0425406835541289,1.788266997716444,ratio,0.0419039050822153,0.0437818383235055,0.0748018786553479,0.077297220042691,permutation,0.0335334169060185,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.5592006122558688,-0.8385621545995814,,
baseline,proposals,original,whole,human_vs_gpt,spread,nn_isolation,False,,0.0583124382798641,0.0357413779782819,1.6315106349648123,ratio,0.0351609646905464,0.0364894069462791,0.057092895895511,0.0605569268591522,permutation,0.0225710603015821,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.6129288884602133,-0.7062083916351034,,
baseline,proposals,original,whole,human_vs_gpt,spread,spherical_variance,False,,0.0450534287355304,0.026063974908365,1.7285709065454464,ratio,0.0254560039474714,0.0264906070765766,0.0436809189181763,0.045678640076336,permutation,0.0189894538271653,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.578512571404143,-0.7895797846378255,,
baseline,proposals,original,whole,human_vs_gpt,richness,vendi,False,q=0,23.0,23.0,1.0,ratio,22.0,22.0,22.0,22.0,permutation,0.0,1.0,1.0,23.0,23.0,10000.0,1.0,,1.0,0.0,,
baseline,proposals,original,whole,human_vs_gpt,richness,vendi,True,q=1,1.7279295553100062,1.4209139941139668,1.2160690671411705,ratio,1.4085397642433406,1.4249150011771514,1.6987806807470558,1.7324603929108398,permutation,0.3070155611960394,9.999000099990002e-05,,23.0,23.0,10000.0,1.0,,0.8223217143010451,-0.2822251695647008,-2.4815164519654775,-0.7391304347826086
baseline,proposals,original,whole,human_vs_gpt,richness,vendi,False,q=2,1.2012668572196157,1.1111240067496555,1.0811276238497023,ratio,1.1083724504440489,1.1130661854188728,1.194506410673627,1.2043757807957731,permutation,0.0901428504699601,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,,0.9249601785579936,-0.11253683891631591,,
baseline,proposals,original,whole,human_vs_gpt,richness,vendi,False,q=1;kernel=rbf;sigma=0.5x_median,20.119621875141934,14.907134798939587,1.3496639123819512,ratio,,,,,permutation,5.212487076202347,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.74092519687746,-0.4326001981611165,,
baseline,proposals,original,whole,human_vs_gpt,richness,vendi,False,q=1;kernel=rbf;sigma=1.0x_median,6.422398012819652,3.895360433039931,1.6487301042403475,ratio,,,,,permutation,2.5270375797797207,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.6065274100522049,-0.7213552501139867,,
baseline,proposals,original,whole,human_vs_gpt,richness,vendi,False,q=1;kernel=rbf;sigma=2.0x_median,2.0819707113963544,1.624961875722541,1.2812428048323312,ratio,,,,,permutation,0.4570088356738133,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.7804921879197317,-0.357543902794192,,
baseline,proposals,original,whole,human_vs_gpt,evenness,vendi_slope,False,q=0..2,0.9477710062078428,0.951690260576102,0.0039192543682591,diff,0.9494060824809604,0.949619434070725,0.945255646327465,0.9457042540602896,permutation,-0.0039192543682591,9.999000099990002e-05,0.0002428328595711,23.0,23.0,10000.0,1.0,relative VS0->VS2 drop (spec 4.2); larger = few dominant modes = less even; effect = AI - Human,1.004135233450473,0.005953579537720647,,
baseline,proposals,original,whole,human_vs_gpt,coverage,coverage_geometric,False,k=2,0.8181818181818182,0.391304347826087,0.391304347826087,coverage,0.4545454545454545,1.0,,,split_half_reference,0.391304347826087,0.0219780219780219,0.0306251125923257,23.0,23.0,1000.0,0.8181818181818182,density=0.587; human_value = median human split-half coverage (parity ref); ci = split-half band,0.4782608695652174,-1.0641303374197155,,
baseline,proposals,original,whole,human_vs_gpt,coverage,coverage_geometric,True,k=3,1.0,0.5217391304347826,0.5217391304347826,coverage,0.5454545454545454,1.0,,,split_half_reference,0.5217391304347826,0.0129870129870129,,23.0,23.0,1000.0,1.0,density=0.5797; human_value = median human split-half coverage (parity ref); ci = split-half band,0.5217391304347826,-0.9385994553358568,-3.05693372669229,
baseline,proposals,original,whole,human_vs_gpt,coverage,coverage_geometric,False,k=5,1.0,0.7391304347826086,0.7391304347826086,coverage,0.8181818181818182,1.0,,,split_half_reference,0.7391304347826086,0.0109890109890109,0.0155677655677655,23.0,23.0,1000.0,1.0,density=0.7478; human_value = median human split-half coverage (parity ref); ci = split-half band,0.7391304347826086,-0.43609911480667357,,
baseline,proposals,original,whole,human_vs_gpt,dimensionality,participation_ratio,True,,13.531231771987528,15.177463219512024,-1.646231447524496,diff,14.441337202920788,15.056176108313757,12.855180180350075,13.892471956368611,permutation,-1.646231447524496,0.1106889311068893,,23.0,23.0,10000.0,1.0,,1.121661610359268,0.16563750064395982,0.7760380080408611,0.6363636363636364
baseline,proposals,original,whole,human_vs_gpt,dimensionality,effective_rank,False,,17.0183594334793,18.013395302234972,-0.9950358687556716,diff,17.17793640574013,17.545832709851027,16.206842163453157,16.85728932182951,permutation,-0.9950358687556716,0.1666833316668333,0.2179705106412436,23.0,23.0,10000.0,1.0,,1.0584683777919386,0.08197816884080499,,
baseline,proposals,original,whole,human_vs_gpt,evenness,ripley_excess,True,r=pooled_q01_q50,-0.0757359439503599,0.4243086110288192,0.4243086110288192,envelope_area,,,,,global_envelope,14.00652826739783,0.001,,23.0,23.0,999.0,1.0,AI excess short-range mass vs pooled-cloud null (M=999); human excess = -0.07574 (env p = 0.076); simultaneous envelope,-5.602473395022667,,-10.75310726206927,-0.7391304347826086
baseline,proposals,original,whole,human_vs_pooled_ai,spread,mean_pairwise,True,,0.0920805481225172,0.0935106618079407,0.984706410394563,ratio,0.0676406071410717,0.1384060056070648,,,same_size_subsample,-0.0014301136854234,0.3386613386613387,,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),1.0155311161215141,0.02223444483983289,-0.1036385745586537,0.0434782608695652
baseline,proposals,original,whole,human_vs_pooled_ai,spread,centroid_loo,False,,0.3077511553960533,0.2895611129696211,1.0628193552645326,ratio,0.2642683456561605,0.3276534486971724,,,same_size_subsample,0.0181900424264321,0.3336663336663337,0.4073520818803838,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.9408936664981065,-0.08789640645431669,,
baseline,proposals,original,whole,human_vs_pooled_ai,spread,mst_dispersion,False,,0.0612108143988316,0.0584705881703208,1.046865036153369,ratio,0.0427967358033527,0.0835980772883702,,,same_size_subsample,0.0027402262285108,0.3386613386613387,0.4073520818803838,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.9552329722219297,-0.06607545924771246,,
baseline,proposals,original,whole,human_vs_pooled_ai,spread,sparseness,False,,0.0760741004601474,0.0710605652014156,1.070552988771216,ratio,0.0540417535925613,0.0975752766432257,,,same_size_subsample,0.0050135352587317,0.3386613386613387,0.4073520818803838,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.9340966869354148,-0.09835620604149854,,
baseline,proposals,original,whole,human_vs_pooled_ai,spread,nn_isolation,False,,0.0583124382798641,0.0554341539531947,1.0519225806007535,ratio,0.039498873195088,0.0802122465323536,,,same_size_subsample,0.0028782843266693,0.3386613386613387,0.4073520818803838,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.9506403022824154,-0.07302852906611433,,
baseline,proposals,original,whole,human_vs_pooled_ai,spread,spherical_variance,False,,0.0450534287355304,0.0458851133587087,0.9818746307396772,ratio,0.0328907565215544,0.0685432662709972,,,same_size_subsample,-0.0008316846231783,0.3386613386613387,0.4073520818803838,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),1.0184599629044973,0.02638926704463751,,
baseline,proposals,original,whole,human_vs_pooled_ai,richness,vendi,False,q=0,23.0,23.0,1.0,ratio,23.0,23.0,,,same_size_subsample,0.0,1.0,1.0,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),1.0,0.0,,
baseline,proposals,original,whole,human_vs_pooled_ai,richness,vendi,True,q=1,1.7279295553100062,1.651408185421465,1.0463370416618176,ratio,1.5253643781284223,1.8554522078433395,,,same_size_subsample,0.0765213698885411,0.3386613386613387,,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.9557149944837812,-0.06534764127083809,-0.457560594373059,0.0434782608695652
baseline,proposals,original,whole,human_vs_pooled_ai,richness,vendi,False,q=2,1.2012668572196157,1.1871855050277134,1.0118611220675016,ratio,1.1426375862023253,1.2621594256593087,,,same_size_subsample,0.0140813521919023,0.3386613386613387,0.4073520818803838,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.9882779150134099,-0.01701129373432095,,
baseline,proposals,original,whole,human_vs_pooled_ai,evenness,vendi_slope,False,q=0..2,0.9477710062078428,0.9483832389118386,-0.0006122327039957,diff,0.945123503232204,0.950320104947725,,,same_size_subsample,-0.0006122327039957,0.3386613386613387,0.4073520818803838,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),1.0006459711259215,0.0009316384665353793,,
baseline,proposals,original,whole,human_vs_pooled_ai,dimensionality,participation_ratio,True,,13.531231771987528,10.698938519173485,2.832293252814045,diff,3.7193842523273206,15.317656000036786,,,same_size_subsample,2.832293252814045,0.5584415584415584,,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.7906847432265937,-0.3388255077024335,-0.2771278181684134,0.3636363636363636
baseline,proposals,original,whole,human_vs_pooled_ai,dimensionality,effective_rank,False,,17.0183594334793,14.186515596368508,2.8318438371107924,diff,8.017581450833742,17.94036220381697,,,same_size_subsample,2.8318438371107924,0.4025974025974026,0.4797305498240078,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.8336006565039484,-0.2625716810729832,,
baseline,proposals,original,whole,human_vs_pooled_ai,evenness,ripley_excess,True,r=pooled_q01_q50,-0.0757359439503599,0.0697816606879841,0.0697816606879841,envelope_area,-0.0058861974046765,0.1570122218271114,,,same_size_subsample,-0.145517604638344,0.0009990009990009,,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),-0.9213810120822095,,-1.7684526375361485,-0.0434782608695652
baseline,proposals,original,whole,human_vs_pooled_ai,coverage,coverage_geometric,True,k=3,1.0,0.604391304347826,0.604391304347826,coverage,0.4347826086956521,0.782608695652174,,,same_size_subsample_vs_split_half,0.604391304347826,0.0009990009990009,,23.0,23.0,1000.0,1.0,human_value = median split-half coverage (parity ref); pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.604391304347826,-0.7264451909440427,-2.402810469776257,
baseline,proposals,original,whole,human_vs_claude,coverage,coverage_bertopic_region,False,k_lit=5,6.0,8.0,0.75,ratio,7.0,8.0,6.0,6.0,permutation,-2.0,0.4070592940705929,0.4827912557581451,23.0,23.0,10000.0,1.0,M6 uses abstract-derived KNN; BERTopic outlier bin (-1) excluded from unions; equal-n union comparison; ci = 95% jackknife,1.3333333333333333,0.41503749927884376,,
