proposal_uid,title,group_model,group_binary,group_all_ai,dominant_region,dominant_region_label,max_region_weight,region_entropy,effective_region_count,n_regions_gt5pct,unassigned_neighbor_frac,region_0_weight,region_1_weight,region_2_weight,region_3_weight,region_4_weight,region_5_weight,region_6_weight,region_7_weight,region_8_weight,region_9_weight,region_10_weight,region_11_weight
P_022,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,Human,Human,8,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",0.4,1.2240684032440186,3.4009962494437516,3,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.25
P_023,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_024,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_025,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_026,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_027,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",GPT-5.2,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1.0,-0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_028,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_029,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,GPT-5.2,AI,All AI,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.55,0.6881388425827026,1.9900083656717242,2,0.0,0.45,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_030,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",GPT-5.2,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1.0,-0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_031,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",0.9,0.3250829875469208,1.3841455080549194,2,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_032,"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_033,"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_034,A Comparative Synthesis of Ribosome Heterogeneity and Specialized Translation Across Tissues and Stress Conditions,GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",0.95,0.19851526618003845,1.2195906457625065,1,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_035,"Emergent Properties of Membrane Microdomains: Integrating Lipidomics, Proteomics, and Super-Resolution Imaging of Raft-Like Assemblies",GPT-5.2,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1.0,-0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_036,A Multi-Scale Synthesis of Endocytic Trafficking Emergence: From Coat Assembly to Organelle Identity,GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_037,"Emergent Control of Cell Cycle Transitions: Integrating Single-Cell Time Series, Proteomics, and Perturbation Screens",GPT-5.2,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.9,0.3943977355957031,1.4834904683160919,1,0.0,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
P_038,"A Synthesis of Nuclear Body Emergence: Integrating Proteomics, RNA Localization, and Imaging of Speckles, Nucleoli, and PML Bodies",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_039,"Emergent Antibiotic Tolerance Mechanisms: Synthesizing Bacterial Single-Cell Physiology, Transcriptomics, and Metabolic Models",GPT-5.2,AI,All AI,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.8,0.5004023909568787,1.6493848347269997,2,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_040,"A Cross-Species Synthesis of Autophagosome Biogenesis: Integrating Proteomics, Lipid Signatures, and Imaging Dynamics",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_041,"Emergent RNA Localization Codes: Synthesizing Subcellular Transcriptomics, RBP Binding Maps, and Imaging to Predict RNA Destinations",GPT-5.2,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1.0,-0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_042,"A Community Meta-Analysis of Multivesicular Body and Exosome Biogenesis: Integrating ESCRT Networks, Proteomics, and Imaging",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",0.7,0.6108643412590027,1.8420228472521767,2,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_043,"Emergent Mechanics of the Nucleus: Integrating Lamin Variants, Chromatin State, and Microscopy-Based Deformation Phenotypes",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_044,"A Synthesis of Spatially Structured Immune Synapse Formation: Integrating Imaging, Proteomics, and Signaling Perturbation Data",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",0.9,0.3250829875469208,1.3841455080549194,2,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_045,"Emergent Principles of Protein Allostery at Scale: Integrating Structural Ensembles, Mutational Scans, and Functional Genomics",GPT-5.2,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_046,Deciphering the Sequence-to-Emergent-Property Grammar of Biomolecular Condensates,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_047,Emergence of Cellular Morphology from Cytoskeletal Crosstalk and Motor Protein Dynamics,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_048,Synthesizing the Emergent Properties of Chromatin Topology and Epigenetic Memory,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_049,Emergence of Metabolic Adaptation through Mitochondrial Reticular Network Dynamics,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_050,Decoding the Mesoscale Emergence of Lipid Raft Clustering and Transmembrane Signaling,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_051,Uncovering the Rules of Nucleolar Assembly and Ribosome Biogenesis Emergence,Gemini,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.65,0.6474466323852539,1.9106559881475726,2,0.0,0.65,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0
P_052,Emergent Dynamics of Synaptic Vesicle Pools and Neurotransmitter Release Probability,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_053,Synthesizing the Mechanotransductive Emergence of Focal Adhesion Maturation,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_054,Decoding the Emergence of Stress Granules and Cellular Resilience Networks,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_055,Emergent Transport Selectivity of the Nuclear Pore Complex Assembly,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_056,Synthesizing the Emergence of Autophagosomes at ER-Mitochondria Contact Sites,Gemini,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1.0,-0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_057,Emergent Cargo Sorting Dynamics in Extracellular Vesicle Biogenesis,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_058,Decoding the Emergence of Viral Inclusion Bodies and Host Cell Hijacking,Gemini,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.85,0.5181862115859985,1.6789795725549743,2,0.0,0.85,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0
P_059,Synthesizing the Emergent Biophysics of Centrosome Maturation and Spindle Bipolarity,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_060,Emergence of Secretory Flux from Golgi Cisternal Stacking Dynamics,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_061,Decoding the Emergent Assembly of Plant Cell Wall Cellulose Synthase Rosettes,Gemini,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1.0,-0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_062,Synthesizing the Emergent Assembly of Bacterial Microcompartments,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_063,Emergence of Lipid Homeostasis through Peroxisome Biogenesis Networks,Gemini,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.8,0.6128695011138916,1.8457201030729617,2,0.0,0.8,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
P_064,Decoding the Emergent Membrane Scission Dynamics of the ESCRT Machinery,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_065,Synthesizing the Emergent Architecture of the Cellular Glycocalyx Meshwork,Gemini,AI,All AI,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.8,0.7083466053009033,2.0306310469253073,2,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0
P_066,Emergent Contractility from Myosin II Thick Filament Assembly in Non-Muscle Cells,Gemini,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.95,0.19851526618003845,1.2195906457625065,1,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
P_067,Decoding the Emergent Dynamics of Proteasome Clustering and Localized Degradation,Gemini,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_068,Synthesizing the Emergent Meshwork of the Nuclear Lamina and Genome Tethering,Gemini,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.95,0.19851526618003845,1.2195906457625065,1,0.0,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
P_069,Decoding the Emergent Logic of Phase-Separated Condensates: A Multi-Scale Data Synthesis of Biomolecular Organization Principles,Claude,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_070,"Temporal Emergence in Protein Interaction Networks: Synthesizing Dynamic Interactomics Across Cell Cycle, Circadian, and Stress Response Programs",Claude,AI,All AI,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.9,0.3250829875469208,1.3841455080549194,2,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_071,"The Mesoscale Architecture of Mitochondrial Contact Sites: Integrating Structural, Proteomic, and Functional Data to Understand Emergent Organelle Communication",Claude,AI,All AI,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.8,0.5004023909568787,1.6493848347269997,2,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
P_072,"Emergent Properties of the Cellular Crowding Landscape: Synthesizing Biophysical, Structural, and Systems Data to Understand Macromolecular Organization",Claude,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1.0,-0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_073,"Deciphering the Emergence of Cellular Polarity: Multi-Scale Data Synthesis Across Molecular, Mesoscale, and Cellular Organization",Claude,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_074,"The Grammar of Intrinsically Disordered Regions: Synthesizing Sequence, Structure, and Function Data to Predict Emergent Behaviors",Claude,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_075,"Emergent Organization of the Cytoskeletal Interactome: Integrating Structural, Dynamic, and Functional Data Across Actin, Microtubule, and Intermediate Filament Networks",Claude,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_076,Synthesizing the Spatiotemporal Logic of Post-Translational Modification Crosstalk: From Molecular Signals to Emergent Cellular Decisions,Claude,AI,All AI,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.65,0.6474466323852539,1.9106559881475726,2,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
P_077,"The Emergent Architecture of Stress Granules: Multi-Modal Data Synthesis to Understand Assembly, Composition, and Function",Claude,AI,All AI,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.6,0.6730116605758667,1.9601316915974982,2,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
P_078,"Decoding Emergent Metabolic Channeling: Synthesizing Structural, Interaction, and Flux Data to Understand Metabolon Organization",Claude,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",1.0,-0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_079,"The Emergence of Ribosome Heterogeneity: Synthesizing Structural, Compositional, and Translational Data to Understand Specialized Ribosomes",Claude,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_080,"Emergent Properties of the Nuclear Pore Complex: Integrating Structural, Transport, and Regulatory Data Across Scales",Claude,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_081,"The Emergence of Cellular Memory: Synthesizing Epigenetic, Transcriptional, and Chromatin Data to Understand Heritable Cell States",Claude,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.7,0.6108643412590027,1.8420228472521767,2,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_082,"Decoding the Emergent Logic of Protein Quality Control Networks: Multi-Scale Synthesis of Chaperone, Degradation, and Aggregation Data",Claude,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.5,0.6931471824645996,2.0000000038093084,2,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
P_083,"The Emergence of Signaling Specificity: Synthesizing Interaction, Localization, and Kinetic Data to Understand Pathway Insulation",Claude,AI,All AI,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.75,0.5623351335525513,1.754765331184639,2,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_084,"Emergent Properties of the Centrosome: Integrating Structural, Compositional, and Functional Data to Understand Microtubule Organizing Center Function",Claude,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_085,"The Emergence of Autophagosome Selectivity: Synthesizing Receptor, Cargo, and Membrane Data to Understand Selective Autophagy",Claude,AI,All AI,1,"details use execution, myosin motors, nascent chain, origin life",1.0,-0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
