condition,task,comparison,analysis,stat,value,p,n_var,n_rank
persona,reviews,human_vs_gemini,score_decision,score_sd_human,0.7362958204107177,,13,14
persona,reviews,human_vs_gemini,score_decision,score_sd_ai,0.16812620354270014,,13,14
persona,reviews,human_vs_gemini,score_decision,score_sd_delta_ai_minus_human,-0.8333333333333334,0.00146484375,13,14
persona,reviews,human_vs_gemini,score_decision,rank_agreement_spearman,0.33273507097914,0.24506981985683565,13,14
persona,reviews,human_vs_gemini,score_decision,disagreement_predicts_divergence_spearman,0.4335246587731128,0.13889036530717214,13,14
persona,reviews,human_vs_gemini,score_decision,divergence_concentration_spearman,0.16411698766160987,0.5921211417260913,13,14
persona,reviews,human_vs_gpt,score_decision,score_sd_human,0.7362958204107177,,13,14
persona,reviews,human_vs_gpt,score_decision,score_sd_ai,0.21408536888645527,,13,14
persona,reviews,human_vs_gpt,score_decision,score_sd_delta_ai_minus_human,-0.6923076923076923,0.00244140625,13,14
persona,reviews,human_vs_gpt,score_decision,rank_agreement_spearman,0.3878362036823272,0.1706212227771492,13,14
persona,reviews,human_vs_gpt,score_decision,disagreement_predicts_divergence_spearman,0.03462657018954574,0.9105854453066542,13,14
persona,reviews,human_vs_gpt,score_decision,divergence_concentration_spearman,-0.22670397448171534,0.4563847676503321,13,14
persona,reviews,human_vs_pooled_ai,score_decision,score_sd_human,0.7362958204107177,,13,14
persona,reviews,human_vs_pooled_ai,score_decision,score_sd_ai,0.28532068547565664,,13,14
persona,reviews,human_vs_pooled_ai,score_decision,score_sd_delta_ai_minus_human,-0.8461538461538461,0.004638671875,13,14
persona,reviews,human_vs_pooled_ai,score_decision,rank_agreement_spearman,0.42745642203681655,0.12737127662741476,13,14
persona,reviews,human_vs_pooled_ai,score_decision,disagreement_predicts_divergence_spearman,0.19364225163916138,0.526157607098272,13,14
persona,reviews,human_vs_pooled_ai,score_decision,divergence_concentration_spearman,0.0333334619349006,0.9139132383059625,13,14
all,reviews,human_vs_human,score_decision,rank_reliability_ceiling_spearman,0.4037409096261805,,13,13
