condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
baseline,proposals,rephrased,whole,coverage,coverage_mesh_terms,k_lit=10,claude<gemini<gpt<human,429.0,0.9999999999999997,1.0,False,JT over LOO jackknife replicates of the union count at matched n
baseline,proposals,rephrased,whole,coverage,coverage_bertopic_region,k_lit=20,claude<gemini<gpt<human,2886.5,6.1374875876386e-20,1.104747765774948e-18,True,JT over LOO jackknife replicates of the union count at matched n
baseline,proposals,rephrased,whole,coverage,coverage_mesh_terms,k_lit=20,claude<gemini<gpt<human,958.0,0.9999942944020388,1.0,False,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,rephrased,whole,coverage,coverage_bertopic_region,k_lit=5,claude<gemini<gpt<human,1851.5,0.032488145914176904,0.06155648699528255,False,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,rephrased,whole,coverage,coverage_mesh_terms,k_lit=5,claude<gemini<gpt<human,1892.5,0.01652485336630379,0.03304970673260758,False,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,rephrased,whole,coverage,coverage_bertopic_region,k_lit=10,claude<gemini<gpt<human,2357.5,3.812334713276116e-08,1.2476731788903652e-07,False,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,rephrased,whole,coverage,coverage_mesh_terms,k_lit=10,claude<gemini<gpt<human,1338.5,0.9585222283194726,1.0,False,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,rephrased,whole,coverage,coverage_bertopic_region,k_lit=20,claude<gemini<gpt<human,2380.5,1.5449621204880125e-08,5.561863633756845e-08,True,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,rephrased,whole,coverage,coverage_mesh_terms,k_lit=20,claude<gemini<gpt<human,2101.0,0.0001677741063958876,0.00040265785535013025,False,JT over LOO jackknife replicates of the union count at matched n
persona,proposals,rephrased,whole,coverage,coverage_bertopic_region,k_lit=5,claude<gemini<gpt<human,793.5,0.9999999845503788,1.0,False,JT over LOO jackknife replicates of the union count at matched n
persona,proposals,rephrased,whole,coverage,coverage_mesh_terms,k_lit=5,claude<gemini<gpt<human,691.0,0.9999999997966156,1.0,False,JT over LOO jackknife replicates of the union count at matched n
persona,proposals,rephrased,whole,coverage,coverage_bertopic_region,k_lit=10,claude<gemini<gpt<human,1321.5,0.9680156693539149,1.0,False,JT over LOO jackknife replicates of the union count at matched n
persona,proposals,rephrased,whole,coverage,coverage_mesh_terms,k_lit=10,claude<gemini<gpt<human,331.0,1.0,1.0,False,JT over LOO jackknife replicates of the union count at matched n
persona,proposals,rephrased,whole,coverage,coverage_bertopic_region,k_lit=20,claude<gemini<gpt<human,2083.0,0.00026948569428116763,0.0006063428121326272,False,JT over LOO jackknife replicates of the union count at matched n
persona,proposals,rephrased,whole,coverage,coverage_mesh_terms,k_lit=20,claude<gemini<gpt<human,514.5,0.9999999999999636,1.0,False,JT over LOO jackknife replicates of the union count at matched n
