proposal_uid,bertopic_topic,bertopic_label,neighbor_count,neighbor_weight
one_at_a_time::gpt-5.5::02,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",2,0.1
one_at_a_time::gpt-5.5::02,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",10,0.5
one_at_a_time::gpt-5.5::02,7,"transgene expression, metabolite production, study illustrates, precise genome",8,0.4
one_at_a_time::gpt-5.5::03,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",20,1.0
one_at_a_time::gpt-5.5::04,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",17,0.85
one_at_a_time::gpt-5.5::04,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",3,0.15
one_at_a_time::gpt-5.5::05,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",16,0.8
one_at_a_time::gpt-5.5::05,7,"transgene expression, metabolite production, study illustrates, precise genome",2,0.1
one_at_a_time::gpt-5.5::05,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",2,0.1
one_at_a_time::gpt-5.5::06,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gpt-5.5::07,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gpt-5.5::08,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gpt-5.5::09,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gpt-5.5::10,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",4,0.2
one_at_a_time::gpt-5.5::10,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",16,0.8
one_at_a_time::gpt-5.5::11,7,"transgene expression, metabolite production, study illustrates, precise genome",5,0.25
one_at_a_time::gpt-5.5::11,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",9,0.45
one_at_a_time::gpt-5.5::11,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",6,0.3
one_at_a_time::gpt-5.5::12,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gpt-5.5::13,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",18,0.9
one_at_a_time::gpt-5.5::13,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",1,0.05
one_at_a_time::gpt-5.5::13,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
one_at_a_time::gpt-5.5::14,7,"transgene expression, metabolite production, study illustrates, precise genome",7,0.35
one_at_a_time::gpt-5.5::14,10,"editorial emerging, author correction, g2 phase, model pd",9,0.45
one_at_a_time::gpt-5.5::14,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",4,0.2
one_at_a_time::gpt-5.5::15,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gpt-5.5::16,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gpt-5.5::17,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",12,0.6
one_at_a_time::gpt-5.5::17,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",4,0.2
one_at_a_time::gpt-5.5::17,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",3,0.15
one_at_a_time::gpt-5.5::17,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
one_at_a_time::gpt-5.5::18,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",19,0.95
one_at_a_time::gpt-5.5::18,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
one_at_a_time::gpt-5.5::19,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gpt-5.5::20,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gpt-5.5::21,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gpt-5.5::22,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",20,1.0
one_at_a_time::gpt-5.5::23,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",18,0.9
one_at_a_time::gpt-5.5::23,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",2,0.1
one_at_a_time::gemini-3.1-pro-preview::01,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",4,0.2
one_at_a_time::gemini-3.1-pro-preview::01,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",16,0.8
one_at_a_time::gemini-3.1-pro-preview::02,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",19,0.95
one_at_a_time::gemini-3.1-pro-preview::02,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",1,0.05
one_at_a_time::gemini-3.1-pro-preview::03,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gemini-3.1-pro-preview::04,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gemini-3.1-pro-preview::05,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",17,0.85
one_at_a_time::gemini-3.1-pro-preview::05,7,"transgene expression, metabolite production, study illustrates, precise genome",2,0.1
one_at_a_time::gemini-3.1-pro-preview::05,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",1,0.05
one_at_a_time::gemini-3.1-pro-preview::06,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",2,0.1
one_at_a_time::gemini-3.1-pro-preview::06,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",16,0.8
one_at_a_time::gemini-3.1-pro-preview::06,7,"transgene expression, metabolite production, study illustrates, precise genome",2,0.1
one_at_a_time::gemini-3.1-pro-preview::07,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gemini-3.1-pro-preview::08,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gemini-3.1-pro-preview::09,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",19,0.95
one_at_a_time::gemini-3.1-pro-preview::09,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
one_at_a_time::gemini-3.1-pro-preview::10,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",19,0.95
one_at_a_time::gemini-3.1-pro-preview::10,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
one_at_a_time::gemini-3.1-pro-preview::11,7,"transgene expression, metabolite production, study illustrates, precise genome",10,0.5
one_at_a_time::gemini-3.1-pro-preview::11,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",8,0.4
one_at_a_time::gemini-3.1-pro-preview::11,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",2,0.1
one_at_a_time::gemini-3.1-pro-preview::12,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gemini-3.1-pro-preview::13,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gemini-3.1-pro-preview::14,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",20,1.0
one_at_a_time::gemini-3.1-pro-preview::15,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",15,0.75
one_at_a_time::gemini-3.1-pro-preview::15,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",4,0.2
one_at_a_time::gemini-3.1-pro-preview::15,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
one_at_a_time::gemini-3.1-pro-preview::16,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",19,0.95
one_at_a_time::gemini-3.1-pro-preview::16,7,"transgene expression, metabolite production, study illustrates, precise genome",1,0.05
one_at_a_time::gemini-3.1-pro-preview::17,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gemini-3.1-pro-preview::18,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gemini-3.1-pro-preview::19,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gemini-3.1-pro-preview::20,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",20,1.0
one_at_a_time::gemini-3.1-pro-preview::21,1,"details use execution, myosin motors, nascent chain, origin life",20,1.0
one_at_a_time::gemini-3.1-pro-preview::22,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",17,0.85
one_at_a_time::gemini-3.1-pro-preview::22,7,"transgene expression, metabolite production, study illustrates, precise genome",2,0.1
one_at_a_time::gemini-3.1-pro-preview::22,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",1,0.05
one_at_a_time::gemini-3.1-pro-preview::23,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",17,0.85
one_at_a_time::gemini-3.1-pro-preview::23,7,"transgene expression, metabolite production, study illustrates, precise genome",3,0.15
