proposal_uid,bertopic_region_entropy,bertopic_max_region_weight,bertopic_unique_regions,bertopic_dominant_region,bertopic_dominant_label,source_group,source_type,title
one_at_a_time::claude-sonnet-5::09,0.7219280948873623,0.8,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Scale Data Synthesis of Sequence, Structure, and Material Properties"
one_at_a_time::claude-sonnet-5::10,0.747584679824574,0.85,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Decoding the Condensatome: A Multiscale Data Synthesis Framework Linking Molecular Grammar to Emergent Biomolecular Condensate Function
one_at_a_time::claude-sonnet-5::11,1.0,0.5,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Scale Synthesis of Sequence, Network, Structural, and Imaging Data"
one_at_a_time::claude-sonnet-5::12,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Decoding the Molecular Grammar of Emergent Condensate Material Properties: A Multi-Database Synthesis Linking Sequence, Structure, and Cellular Function"
one_at_a_time::claude-sonnet-5::13,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Decoding the Sequence-to-Phenotype Grammar of Biomolecular Condensate Emergence: A Multi-Scale Data Synthesis Initiative
one_at_a_time::claude-sonnet-5::14,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,"Decoding the Molecular Grammar of Emergent Biomolecular Condensates: A Multi-Scale Data Synthesis Framework Linking Sequence, Structure, and Cellular Phenotype"
one_at_a_time::claude-sonnet-5::15,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensates: A Cross-Species, Multi-Omics Synthesis of Mesoscale Emergence and Its Cellular Consequences"
one_at_a_time::claude-sonnet-5::16,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Decoding the Molecular Grammar of Mesoscale Emergence: A Cross-Database Synthesis Linking Biomolecular Condensate Sequence Features to Material States and Cellular Phenotypes
one_at_a_time::claude-sonnet-5::17,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Multi-Scale Data Synthesis from Sequence to Cellular Phenotype
one_at_a_time::claude-sonnet-5::18,0.9927744539878083,0.55,2,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Claude,ai,"Decoding the Molecular Grammar of Mesoscale Emergence: A Multi-Omic Synthesis of Biomolecular Condensate Formation, Material Properties, and Cellular Phenotype"
one_at_a_time::claude-sonnet-5::19,1.5219280948873621,0.4,3,7,"transgene expression, metabolite production, study illustrates, precise genome",Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Database Synthesis Linking Sequence Features, Mesoscale Material Properties, and Cellular Phenotypes"
one_at_a_time::claude-sonnet-5::20,1.1883763717345073,0.6,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Claude,ai,From Sequence Grammar to Cellular Phenotype: A Multi-Omic Synthesis of Biomolecular Condensate Data to Decode Rules of Mesoscale Emergence
one_at_a_time::claude-sonnet-5::21,0.7219280948873623,0.8,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,From Molecular Grammar to Mesoscale Material Properties: A Multi-Omic Synthesis of Biomolecular Condensate Emergence
one_at_a_time::claude-sonnet-5::22,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Multi-Scale Data Synthesis from Sequence to Cellular Phenotype
one_at_a_time::claude-sonnet-5::23,0.4689955935892812,0.9,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Decoding the Sequence-to-Emergence Grammar of Biomolecular Condensates: A Cross-Scale Data Synthesis of Mesoscale Phase Separation and Its Cellular Consequences
one_at_a_time::gpt-5.5::01,0.8112781244591328,0.75,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,Predicting Emergent Mesoscale Biomolecular Condensate Behaviors from Public Multimodal Molecular and Cellular Data
one_at_a_time::gpt-5.5::02,1.360964047443681,0.5,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",GPT,ai,Synthesis of Public Multi-Omic and Imaging Data to Predict Emergent Biomolecular Condensate States and Cellular Outcomes
one_at_a_time::gpt-5.5::03,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Emergent Rules Linking Biomolecular Condensate Composition, Material State, and Cellular Phenotype Across Public Proteomic, Imaging, and Perturbation Datasets"
one_at_a_time::gpt-5.5::04,0.6098403047164004,0.85,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,A Cross-Scale Public Data Synthesis to Predict When Biomolecular Condensates Emerge and Control Cellular Phenotypes
one_at_a_time::gpt-5.5::05,0.9219280948873623,0.8,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Predicting Emergent Membraneless Organelle States by Synthesizing Proteome-Scale Phase-Separation, Interaction, Imaging, and Perturbation Data"
one_at_a_time::gpt-5.5::06,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"A Public-Data Synthesis Atlas of Biomolecular Condensate Emergence Linking Molecular Grammar, Mesoscale Material State, and Cellular Phenotype"
one_at_a_time::gpt-5.5::07,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,A Public-Data Synthesis Atlas of Emergent Biomolecular Condensate States and Their Coupling to Cellular Phenotypes
one_at_a_time::gpt-5.5::08,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"Data-Synthesis Atlas of Biomolecular Condensate Emergence Across Cell Types, Perturbations, and Disease States"
one_at_a_time::gpt-5.5::09,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"Predicting Emergent Biomolecular Condensate States from Public Multi-Omics, Imaging, and Perturbation Data"
one_at_a_time::gpt-5.5::10,0.7219280948873623,0.8,2,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",GPT,ai,"Predicting Emergent Mesoscale Biomolecular Condensates from Public Proteomic, Imaging, and Perturbation Data"
one_at_a_time::gpt-5.5::11,1.5394910703001345,0.45,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",GPT,ai,"Predicting Emergent Biomolecular Condensate States by Synthesizing Public Proteomic, Imaging, Structural, and Perturbation Data"
one_at_a_time::gpt-5.5::12,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,A Public-Data Synthesis Atlas of Rules Governing Emergent Biomolecular Condensate States Across Human Cell Types
one_at_a_time::gpt-5.5::13,0.5689955935892812,0.9,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Emergent Rules Governing Biomolecular Condensate Formation, Material State, and Cellular Function from Public Multiscale Data"
one_at_a_time::gpt-5.5::14,1.5128876215181604,0.45,3,10,"editorial emerging, author correction, g2 phase, model pd",GPT,ai,"A Public-Data Synthesis of Emergent Mesoscale Membraneless Organelle Rules Linking Biomolecular Condensate Composition, Material State, and Cellular Phenotype"
one_at_a_time::gpt-5.5::15,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,A Cross-Scale Public Data Synthesis to Predict Emergent Cellular Functions of Biomolecular Condensates
one_at_a_time::gpt-5.5::16,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"A Public-Data Atlas for Predicting Emergent Biomolecular Condensate States from Molecular Features, Cellular Context, and Perturbation Responses"
one_at_a_time::gpt-5.5::17,1.533206219346495,0.6,4,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Predicting Emergent Cellular Outcomes from Biomolecular Condensate Composition, Material State, and Network Context"
one_at_a_time::gpt-5.5::18,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Predicting Emergent Mesoscale Biomolecular Condensate States from Public Proteome, Interaction, Perturbation, and Imaging Data"
one_at_a_time::gpt-5.5::19,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,"Data-Synthesized Rules Linking Biomolecular Condensate Composition, Mesoscale Organization, and Cellular Phenotypes"
one_at_a_time::gpt-5.5::20,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,Emergent Rules Linking Biomolecular Condensate Mesoscale Organization to Cellular Stress Decisions
one_at_a_time::gpt-5.5::21,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",GPT,ai,Predicting Emergent RNP Condensate Assembly and Cell-State Consequences from Public Multi-Omic and Imaging Data
one_at_a_time::gpt-5.5::22,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Predicting Emergent Mesoscale Biomolecular Condensates from Public Proteomic, Transcriptomic, and Cell Imaging Data"
one_at_a_time::gpt-5.5::23,0.4689955935892812,0.9,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",GPT,ai,"Synthesis of Public Proteomic, Imaging, and Perturbation Data to Predict Emergent Mesoscale Biomolecular Condensates and Their Cellular Consequences"
one_at_a_time::gemini-3.1-pro-preview::01,0.7219280948873623,0.8,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Decoding Mesoscale Emergence: An AI-Driven Synthesis of Multimodal Public Data to Uncover the Universal Rules of Biomolecular Condensate Assembly
one_at_a_time::gemini-3.1-pro-preview::02,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Decoding the Mesoscale Condensate Computome: An AI-Driven Synthesis of Emergent Phase Separation in Cellular Organization
one_at_a_time::gemini-3.1-pro-preview::03,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Decoding Mesoscale Emergence: A Multimodal AI-Driven Synthesis of Biomolecular Condensate Dynamics from Public Omic and Imaging Data
one_at_a_time::gemini-3.1-pro-preview::04,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Synthesizing Multi-Omic and Structural Data to Decode the Emergent Rules of Mesoscale Biomolecular Condensates in Cellular Stress
one_at_a_time::gemini-3.1-pro-preview::05,0.747584679824574,0.85,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Unveiling the Mesoscale Emergence of Biomolecular Condensates: A Multi-Modal Data Synthesis and AI-Driven Approach to Map Phase Separation Rules
one_at_a_time::gemini-3.1-pro-preview::06,0.9219280948873623,0.8,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Decoding Mesoscale Emergence: An AI-Driven Synthesis of Multi-Omic and Structural Data to Uncover the Rules of Biomolecular Condensate Formation
one_at_a_time::gemini-3.1-pro-preview::07,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Synthesizing the Mesoscale: AI-Driven Integration of Multi-Omic and Structural Data to Decode the Emergence of Biomolecular Condensates
one_at_a_time::gemini-3.1-pro-preview::08,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Decoding Mesoscale Emergence: A Multimodal AI Synthesis of Biomolecular Condensate Dynamics and Cellular Fitness
one_at_a_time::gemini-3.1-pro-preview::09,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Deciphering the Emergent Rules of Mesoscale Biomolecular Condensate Assembly via AI-Driven Synthesis of Public Multi-Omics and Imaging Data
one_at_a_time::gemini-3.1-pro-preview::10,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,"Unifying Sequence, Structure, and Dynamics: An AI-Driven Synthesis Approach to the Mesoscale Emergence of Biomolecular Condensates"
one_at_a_time::gemini-3.1-pro-preview::11,1.3609640474436813,0.5,3,7,"transgene expression, metabolite production, study illustrates, precise genome",Gemini,ai,Synthesizing the Mesoscale: An AI-Driven Integration of Multi-Omic and Biophysical Data to Decode the Emergent Properties of Biomolecular Condensates
one_at_a_time::gemini-3.1-pro-preview::12,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Predicting Mesoscale Emergence: A Multi-Omic and Structural Data Synthesis to Decode Biomolecular Condensate Dynamics Across Cellular States
one_at_a_time::gemini-3.1-pro-preview::13,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Decoding Mesoscale Emergence: An AI-Driven Synthesis of Multi-Omic and Biophysical Data to Map Biomolecular Condensate Landscapes
one_at_a_time::gemini-3.1-pro-preview::14,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Decoding Mesoscale Emergence: Synthesizing Multimodal Data to Predict Biomolecular Condensate Dynamics and Cellular Stress Responses via AI-Driven Multiscale Modeling
one_at_a_time::gemini-3.1-pro-preview::15,0.9917601481809735,0.75,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Decoding Mesoscale Emergence in Biomolecular Condensates: A Multi-Omic Synthesis and AI-Driven Framework for Predicting Liquid-Liquid Phase Separation Dynamics
one_at_a_time::gemini-3.1-pro-preview::16,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Deciphering the Grammar of Mesoscale Emergence: An AI-Driven Synthesis of Multi-Omic and Biophysical Data to Predict Biomolecular Condensate Dynamics and Cellular Outcomes
one_at_a_time::gemini-3.1-pro-preview::17,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Unveiling the Rules of Mesoscale Emergence: A Multi-Omic Synthesis of Biomolecular Condensate Dynamics and Cellular Fate
one_at_a_time::gemini-3.1-pro-preview::18,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Synthesizing Multi-Omic and Structural Data to Decode the Emergent Rules of Biomolecular Condensate Formation at the Cellular Mesoscale
one_at_a_time::gemini-3.1-pro-preview::19,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Decoding Mesoscale Emergence: Synthesizing Multimodal Data to Predict the Spatiotemporal Dynamics and Cellular Outcomes of Biomolecular Condensates
one_at_a_time::gemini-3.1-pro-preview::20,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,"Decoding Mesoscale Emergence: Synthesizing Structural, Proteomic, and Transcriptomic Data to Uncover Principles of Biomolecular Condensation"
one_at_a_time::gemini-3.1-pro-preview::21,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Gemini,ai,Decoding Mesoscale Emergence: A Multi-Omic and AI-Driven Synthesis of Biomolecular Condensate Dynamics
one_at_a_time::gemini-3.1-pro-preview::22,0.747584679824574,0.85,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Decoding the Mesoscale Grammar of Biomolecular Condensates: An AI-Driven Synthesis of Multi-Modal Data to Predict Emergent Subcellular Organization
one_at_a_time::gemini-3.1-pro-preview::23,0.6098403047164004,0.85,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Gemini,ai,Predictive Rules of Emergent Condensates (PREC): An AI-Driven Synthesis of Multi-Scale Data to Decode Mesoscale Cellular Organization
