proposal_uid,source_type,source_group,title,global_nn_index,global_nn_proposal_uid,global_nn_source_type,global_nn_source_group,global_nn_distance,global_mean_5nn_distance,global_nn_same_source_type,global_nn_same_source_group,is_global_nn_outlier_top10,is_global_mean5nn_outlier_top10
one_at_a_time::claude-sonnet-5::23,ai,Claude,Decoding the Sequence-to-Emergence Grammar of Biomolecular Condensates: A Cross-Scale Data Synthesis of Mesoscale Phase Separation and Its Cellular Consequences,23,one_at_a_time::claude-sonnet-5::01,ai,Claude,0.016256332397460938,0.017661082744598388,True,True,False,False
one_at_a_time::gpt-5.5::01,ai,GPT,Predicting Emergent Mesoscale Biomolecular Condensate Behaviors from Public Multimodal Molecular and Cellular Data,41,one_at_a_time::claude-sonnet-5::19,ai,Claude,0.06759494543075562,0.09897996187210083,True,False,False,False
one_at_a_time::gpt-5.5::02,ai,GPT,Synthesis of Public Multi-Omic and Imaging Data to Predict Emergent Biomolecular Condensate States and Cellular Outcomes,29,one_at_a_time::claude-sonnet-5::07,ai,Claude,0.05201035737991333,0.08149487972259521,True,False,False,False
one_at_a_time::gpt-5.5::03,ai,GPT,"Emergent Rules Linking Biomolecular Condensate Composition, Material State, and Cellular Phenotype Across Public Proteomic, Imaging, and Perturbation Datasets",50,one_at_a_time::gpt-5.5::05,ai,GPT,0.01735156774520874,0.01891298294067383,True,True,False,False
one_at_a_time::gpt-5.5::04,ai,GPT,A Cross-Scale Public Data Synthesis to Predict When Biomolecular Condensates Emerge and Control Cellular Phenotypes,50,one_at_a_time::gpt-5.5::05,ai,GPT,0.015294790267944336,0.016559624671936037,True,True,False,False
one_at_a_time::gpt-5.5::05,ai,GPT,"Predicting Emergent Membraneless Organelle States by Synthesizing Proteome-Scale Phase-Separation, Interaction, Imaging, and Perturbation Data",49,one_at_a_time::gpt-5.5::04,ai,GPT,0.015294790267944336,0.017036044597625734,True,True,False,False
one_at_a_time::gpt-5.5::06,ai,GPT,"A Public-Data Synthesis Atlas of Biomolecular Condensate Emergence Linking Molecular Grammar, Mesoscale Material State, and Cellular Phenotype",66,one_at_a_time::gpt-5.5::21,ai,GPT,0.021461963653564453,0.0223213791847229,True,True,False,False
one_at_a_time::gpt-5.5::07,ai,GPT,A Public-Data Synthesis Atlas of Emergent Biomolecular Condensate States and Their Coupling to Cellular Phenotypes,58,one_at_a_time::gpt-5.5::13,ai,GPT,0.01770627498626709,0.019641077518463133,True,True,False,False
one_at_a_time::gpt-5.5::08,ai,GPT,"Data-Synthesis Atlas of Biomolecular Condensate Emergence Across Cell Types, Perturbations, and Disease States",56,one_at_a_time::gpt-5.5::11,ai,GPT,0.016035258769989014,0.01695030927658081,True,True,False,False
one_at_a_time::gpt-5.5::09,ai,GPT,"Predicting Emergent Biomolecular Condensate States from Public Multi-Omics, Imaging, and Perturbation Data",32,one_at_a_time::claude-sonnet-5::10,ai,Claude,0.018110990524291992,0.02010425329208374,True,False,False,False
one_at_a_time::gpt-5.5::10,ai,GPT,"Predicting Emergent Mesoscale Biomolecular Condensates from Public Proteomic, Imaging, and Perturbation Data",53,one_at_a_time::gpt-5.5::08,ai,GPT,0.017637014389038086,0.019158697128295897,True,True,False,False
one_at_a_time::gpt-5.5::11,ai,GPT,"Predicting Emergent Biomolecular Condensate States by Synthesizing Public Proteomic, Imaging, Structural, and Perturbation Data",24,one_at_a_time::claude-sonnet-5::02,ai,Claude,0.014931440353393555,0.016620492935180663,True,False,False,False
one_at_a_time::gpt-5.5::12,ai,GPT,A Public-Data Synthesis Atlas of Rules Governing Emergent Biomolecular Condensate States Across Human Cell Types,53,one_at_a_time::gpt-5.5::08,ai,GPT,0.01732480525970459,0.019090700149536132,True,True,False,False
one_at_a_time::gpt-5.5::13,ai,GPT,"Emergent Rules Governing Biomolecular Condensate Formation, Material State, and Cellular Function from Public Multiscale Data",67,one_at_a_time::gpt-5.5::22,ai,GPT,0.016779065132141113,0.017413175106048583,True,True,False,False
one_at_a_time::gpt-5.5::14,ai,GPT,"A Public-Data Synthesis of Emergent Mesoscale Membraneless Organelle Rules Linking Biomolecular Condensate Composition, Material State, and Cellular Phenotype",53,one_at_a_time::gpt-5.5::08,ai,GPT,0.018360614776611328,0.01961938142776489,True,True,False,False
one_at_a_time::gpt-5.5::15,ai,GPT,A Cross-Scale Public Data Synthesis to Predict Emergent Cellular Functions of Biomolecular Condensates,47,one_at_a_time::gpt-5.5::02,ai,GPT,0.07143288850784302,0.08875352144241333,True,True,False,False
one_at_a_time::gpt-5.5::16,ai,GPT,"A Public-Data Atlas for Predicting Emergent Biomolecular Condensate States from Molecular Features, Cellular Context, and Perturbation Responses",26,one_at_a_time::claude-sonnet-5::04,ai,Claude,0.016528546810150146,0.01805669069290161,True,False,False,False
one_at_a_time::gpt-5.5::17,ai,GPT,"Predicting Emergent Cellular Outcomes from Biomolecular Condensate Composition, Material State, and Network Context",65,one_at_a_time::gpt-5.5::20,ai,GPT,0.017274022102355957,0.01825317144393921,True,True,False,False
one_at_a_time::gpt-5.5::18,ai,GPT,"Predicting Emergent Mesoscale Biomolecular Condensate States from Public Proteome, Interaction, Perturbation, and Imaging Data",58,one_at_a_time::gpt-5.5::13,ai,GPT,0.019006013870239258,0.021053993701934816,True,True,False,False
one_at_a_time::gpt-5.5::19,ai,GPT,"Data-Synthesized Rules Linking Biomolecular Condensate Composition, Mesoscale Organization, and Cellular Phenotypes",46,one_at_a_time::gpt-5.5::01,ai,GPT,0.07079041004180908,0.09423902034759521,True,True,False,False
one_at_a_time::gpt-5.5::20,ai,GPT,Emergent Rules Linking Biomolecular Condensate Mesoscale Organization to Cellular Stress Decisions,49,one_at_a_time::gpt-5.5::04,ai,GPT,0.016374588012695312,0.017933571338653566,True,True,False,False
one_at_a_time::gpt-5.5::21,ai,GPT,Predicting Emergent RNP Condensate Assembly and Cell-State Consequences from Public Multi-Omic and Imaging Data,57,one_at_a_time::gpt-5.5::12,ai,GPT,0.020305991172790527,0.021244502067565917,True,True,False,False
one_at_a_time::gpt-5.5::22,ai,GPT,"Predicting Emergent Mesoscale Biomolecular Condensates from Public Proteomic, Transcriptomic, and Cell Imaging Data",58,one_at_a_time::gpt-5.5::13,ai,GPT,0.016779065132141113,0.01827627420425415,True,True,False,False
one_at_a_time::gpt-5.5::23,ai,GPT,"Synthesis of Public Proteomic, Imaging, and Perturbation Data to Predict Emergent Mesoscale Biomolecular Condensates and Their Cellular Consequences",72,one_at_a_time::gemini-3.1-pro-preview::04,ai,Gemini,0.08067160844802856,0.12053412199020386,True,False,False,True
one_at_a_time::gemini-3.1-pro-preview::01,ai,Gemini,Decoding Mesoscale Emergence: An AI-Driven Synthesis of Multimodal Public Data to Uncover the Universal Rules of Biomolecular Condensate Assembly,64,one_at_a_time::gpt-5.5::19,ai,GPT,0.09381115436553955,0.13234891891479492,True,False,False,True
one_at_a_time::gemini-3.1-pro-preview::02,ai,Gemini,Decoding the Mesoscale Condensate Computome: An AI-Driven Synthesis of Emergent Phase Separation in Cellular Organization,76,one_at_a_time::gemini-3.1-pro-preview::08,ai,Gemini,0.015151023864746094,0.018309581279754638,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::03,ai,Gemini,Decoding Mesoscale Emergence: A Multimodal AI-Driven Synthesis of Biomolecular Condensate Dynamics from Public Omic and Imaging Data,76,one_at_a_time::gemini-3.1-pro-preview::08,ai,Gemini,0.019182920455932617,0.019867730140686036,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::04,ai,Gemini,Synthesizing Multi-Omic and Structural Data to Decode the Emergent Rules of Mesoscale Biomolecular Condensates in Cellular Stress,68,one_at_a_time::gpt-5.5::23,ai,GPT,0.08067160844802856,0.11757923364639282,True,False,False,False
one_at_a_time::gemini-3.1-pro-preview::05,ai,Gemini,Unveiling the Mesoscale Emergence of Biomolecular Condensates: A Multi-Modal Data Synthesis and AI-Driven Approach to Map Phase Separation Rules,83,one_at_a_time::gemini-3.1-pro-preview::15,ai,Gemini,0.013384521007537842,0.015542113780975341,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::06,ai,Gemini,Decoding Mesoscale Emergence: An AI-Driven Synthesis of Multi-Omic and Structural Data to Uncover the Rules of Biomolecular Condensate Formation,83,one_at_a_time::gemini-3.1-pro-preview::15,ai,Gemini,0.015971243381500244,0.019186246395111083,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::07,ai,Gemini,Synthesizing the Mesoscale: AI-Driven Integration of Multi-Omic and Structural Data to Decode the Emergence of Biomolecular Condensates,64,one_at_a_time::gpt-5.5::19,ai,GPT,0.11250889301300049,0.11929768323898315,True,False,True,True
one_at_a_time::gemini-3.1-pro-preview::08,ai,Gemini,Decoding Mesoscale Emergence: A Multimodal AI Synthesis of Biomolecular Condensate Dynamics and Cellular Fitness,70,one_at_a_time::gemini-3.1-pro-preview::02,ai,Gemini,0.015151023864746094,0.01699938774108887,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::09,ai,Gemini,Deciphering the Emergent Rules of Mesoscale Biomolecular Condensate Assembly via AI-Driven Synthesis of Public Multi-Omics and Imaging Data,83,one_at_a_time::gemini-3.1-pro-preview::15,ai,Gemini,0.018951058387756348,0.020535218715667724,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::10,ai,Gemini,"Unifying Sequence, Structure, and Dynamics: An AI-Driven Synthesis Approach to the Mesoscale Emergence of Biomolecular Condensates",79,one_at_a_time::gemini-3.1-pro-preview::11,ai,Gemini,0.014734506607055664,0.01739755868911743,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::11,ai,Gemini,Synthesizing the Mesoscale: An AI-Driven Integration of Multi-Omic and Biophysical Data to Decode the Emergent Properties of Biomolecular Condensates,78,one_at_a_time::gemini-3.1-pro-preview::10,ai,Gemini,0.014734506607055664,0.01669895648956299,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::12,ai,Gemini,Predicting Mesoscale Emergence: A Multi-Omic and Structural Data Synthesis to Decode Biomolecular Condensate Dynamics Across Cellular States,36,one_at_a_time::claude-sonnet-5::14,ai,Claude,0.01996326446533203,0.021131908893585204,True,False,False,False
one_at_a_time::gemini-3.1-pro-preview::13,ai,Gemini,Decoding Mesoscale Emergence: An AI-Driven Synthesis of Multi-Omic and Biophysical Data to Map Biomolecular Condensate Landscapes,70,one_at_a_time::gemini-3.1-pro-preview::02,ai,Gemini,0.021120429039001465,0.021574640274047853,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::14,ai,Gemini,Decoding Mesoscale Emergence: Synthesizing Multimodal Data to Predict Biomolecular Condensate Dynamics and Cellular Stress Responses via AI-Driven Multiscale Modeling,83,one_at_a_time::gemini-3.1-pro-preview::15,ai,Gemini,0.016969025135040283,0.01751831769943237,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::15,ai,Gemini,Decoding Mesoscale Emergence in Biomolecular Condensates: A Multi-Omic Synthesis and AI-Driven Framework for Predicting Liquid-Liquid Phase Separation Dynamics,73,one_at_a_time::gemini-3.1-pro-preview::05,ai,Gemini,0.013384521007537842,0.015694010257720947,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::16,ai,Gemini,Deciphering the Grammar of Mesoscale Emergence: An AI-Driven Synthesis of Multi-Omic and Biophysical Data to Predict Biomolecular Condensate Dynamics and Cellular Outcomes,49,one_at_a_time::gpt-5.5::04,ai,GPT,0.018259763717651367,0.021191775798797607,True,False,False,False
one_at_a_time::gemini-3.1-pro-preview::17,ai,Gemini,Unveiling the Rules of Mesoscale Emergence: A Multi-Omic Synthesis of Biomolecular Condensate Dynamics and Cellular Fate,73,one_at_a_time::gemini-3.1-pro-preview::05,ai,Gemini,0.015866518020629883,0.01684072017669678,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::18,ai,Gemini,Synthesizing Multi-Omic and Structural Data to Decode the Emergent Rules of Biomolecular Condensate Formation at the Cellular Mesoscale,83,one_at_a_time::gemini-3.1-pro-preview::15,ai,Gemini,0.01915651559829712,0.01976062059402466,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::19,ai,Gemini,Decoding Mesoscale Emergence: Synthesizing Multimodal Data to Predict the Spatiotemporal Dynamics and Cellular Outcomes of Biomolecular Condensates,83,one_at_a_time::gemini-3.1-pro-preview::15,ai,Gemini,0.019743800163269043,0.0223341703414917,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::20,ai,Gemini,"Decoding Mesoscale Emergence: Synthesizing Structural, Proteomic, and Transcriptomic Data to Uncover Principles of Biomolecular Condensation",32,one_at_a_time::claude-sonnet-5::10,ai,Claude,0.019994020462036133,0.021917080879211424,True,False,False,False
one_at_a_time::gemini-3.1-pro-preview::21,ai,Gemini,Decoding Mesoscale Emergence: A Multi-Omic and AI-Driven Synthesis of Biomolecular Condensate Dynamics,73,one_at_a_time::gemini-3.1-pro-preview::05,ai,Gemini,0.022073864936828613,0.02335716485977173,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::22,ai,Gemini,Decoding the Mesoscale Grammar of Biomolecular Condensates: An AI-Driven Synthesis of Multi-Modal Data to Predict Emergent Subcellular Organization,79,one_at_a_time::gemini-3.1-pro-preview::11,ai,Gemini,0.0168381929397583,0.017463541030883788,True,True,False,False
one_at_a_time::gemini-3.1-pro-preview::23,ai,Gemini,Predictive Rules of Emergent Condensates (PREC): An AI-Driven Synthesis of Multi-Scale Data to Decode Mesoscale Cellular Organization,78,one_at_a_time::gemini-3.1-pro-preview::10,ai,Gemini,0.017512798309326172,0.01822282075881958,True,True,False,False
