condition,target_proposal_uid,target_cohort,target_proposal_id,target_proposal_title,target_human_n_reviews,n_human_reviews_available,n_ai_reviews_claude,n_ai_reviews_gemini,n_ai_reviews_gpt,n_ai_reviews_pooled,eligible_exact_match_claude,eligible_exact_match_gemini,eligible_exact_match_gpt,eligible_exact_match_pooled,human_review_uids,ai_review_uids_claude,ai_review_uids_gemini,ai_review_uids_gpt,ai_review_uids_pooled
baseline,y1::8,y1,8,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,5,5,5,5,5,15,True,True,True,True,"[""y1::8::1::01"", ""y1::8::2::01"", ""y1::8::3::01"", ""y1::8::4::01"", ""y1::8::5::01""]","[""baseline::y1::8::claude-sonnet-5::001"", ""baseline::y1::8::claude-sonnet-5::002"", ""baseline::y1::8::claude-sonnet-5::003"", ""baseline::y1::8::claude-sonnet-5::004"", ""baseline::y1::8::claude-sonnet-5::005""]","[""baseline::y1::8::gemini-3.1-pro-preview::001"", ""baseline::y1::8::gemini-3.1-pro-preview::002"", ""baseline::y1::8::gemini-3.1-pro-preview::003"", ""baseline::y1::8::gemini-3.1-pro-preview::004"", ""baseline::y1::8::gemini-3.1-pro-preview::005""]","[""baseline::y1::8::gpt-5.5::001"", ""baseline::y1::8::gpt-5.5::002"", ""baseline::y1::8::gpt-5.5::003"", ""baseline::y1::8::gpt-5.5::004"", ""baseline::y1::8::gpt-5.5::005""]","[""baseline::y1::8::claude-sonnet-5::001"", ""baseline::y1::8::claude-sonnet-5::002"", ""baseline::y1::8::claude-sonnet-5::003"", ""baseline::y1::8::claude-sonnet-5::004"", ""baseline::y1::8::claude-sonnet-5::005"", ""baseline::y1::8::gpt-5.5::001"", ""baseline::y1::8::gpt-5.5::002"", ""baseline::y1::8::gpt-5.5::003"", ""baseline::y1::8::gpt-5.5::004"", ""baseline::y1::8::gpt-5.5::005"", ""baseline::y1::8::gemini-3.1-pro-preview::001"", ""baseline::y1::8::gemini-3.1-pro-preview::002"", ""baseline::y1::8::gemini-3.1-pro-preview::003"", ""baseline::y1::8::gemini-3.1-pro-preview::004"", ""baseline::y1::8::gemini-3.1-pro-preview::005""]"
baseline,y1::9,y1,9,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,3,3,5,5,5,15,True,True,True,True,"[""y1::9::1::01"", ""y1::9::2::01"", ""y1::9::3::01""]","[""baseline::y1::9::claude-sonnet-5::001"", ""baseline::y1::9::claude-sonnet-5::002"", ""baseline::y1::9::claude-sonnet-5::003"", ""baseline::y1::9::claude-sonnet-5::004"", ""baseline::y1::9::claude-sonnet-5::005""]","[""baseline::y1::9::gemini-3.1-pro-preview::001"", ""baseline::y1::9::gemini-3.1-pro-preview::002"", ""baseline::y1::9::gemini-3.1-pro-preview::003"", ""baseline::y1::9::gemini-3.1-pro-preview::004"", ""baseline::y1::9::gemini-3.1-pro-preview::005""]","[""baseline::y1::9::gpt-5.5::001"", ""baseline::y1::9::gpt-5.5::002"", ""baseline::y1::9::gpt-5.5::003"", ""baseline::y1::9::gpt-5.5::004"", ""baseline::y1::9::gpt-5.5::005""]","[""baseline::y1::9::claude-sonnet-5::001"", ""baseline::y1::9::claude-sonnet-5::002"", ""baseline::y1::9::claude-sonnet-5::003"", ""baseline::y1::9::claude-sonnet-5::004"", ""baseline::y1::9::claude-sonnet-5::005"", ""baseline::y1::9::gpt-5.5::001"", ""baseline::y1::9::gpt-5.5::002"", ""baseline::y1::9::gpt-5.5::003"", ""baseline::y1::9::gpt-5.5::004"", ""baseline::y1::9::gpt-5.5::005"", ""baseline::y1::9::gemini-3.1-pro-preview::001"", ""baseline::y1::9::gemini-3.1-pro-preview::002"", ""baseline::y1::9::gemini-3.1-pro-preview::003"", ""baseline::y1::9::gemini-3.1-pro-preview::004"", ""baseline::y1::9::gemini-3.1-pro-preview::005""]"
baseline,y2::1,y2,1,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,3,3,5,5,5,15,True,True,True,True,"[""y2::1::1::01"", ""y2::1::2::01"", ""y2::1::3::01""]","[""baseline::y2::1::claude-sonnet-5::001"", ""baseline::y2::1::claude-sonnet-5::002"", ""baseline::y2::1::claude-sonnet-5::003"", ""baseline::y2::1::claude-sonnet-5::004"", ""baseline::y2::1::claude-sonnet-5::005""]","[""baseline::y2::1::gemini-3.1-pro-preview::001"", ""baseline::y2::1::gemini-3.1-pro-preview::002"", ""baseline::y2::1::gemini-3.1-pro-preview::003"", ""baseline::y2::1::gemini-3.1-pro-preview::004"", ""baseline::y2::1::gemini-3.1-pro-preview::005""]","[""baseline::y2::1::gpt-5.5::001"", ""baseline::y2::1::gpt-5.5::002"", ""baseline::y2::1::gpt-5.5::003"", ""baseline::y2::1::gpt-5.5::004"", ""baseline::y2::1::gpt-5.5::005""]","[""baseline::y2::1::claude-sonnet-5::001"", ""baseline::y2::1::claude-sonnet-5::002"", ""baseline::y2::1::claude-sonnet-5::003"", ""baseline::y2::1::claude-sonnet-5::004"", ""baseline::y2::1::claude-sonnet-5::005"", ""baseline::y2::1::gpt-5.5::001"", ""baseline::y2::1::gpt-5.5::002"", ""baseline::y2::1::gpt-5.5::003"", ""baseline::y2::1::gpt-5.5::004"", ""baseline::y2::1::gpt-5.5::005"", ""baseline::y2::1::gemini-3.1-pro-preview::001"", ""baseline::y2::1::gemini-3.1-pro-preview::002"", ""baseline::y2::1::gemini-3.1-pro-preview::003"", ""baseline::y2::1::gemini-3.1-pro-preview::004"", ""baseline::y2::1::gemini-3.1-pro-preview::005""]"
baseline,y2::10,y2,10,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,3,3,5,5,5,15,True,True,True,True,"[""y2::10::1::01"", ""y2::10::2::01"", ""y2::10::3::01""]","[""baseline::y2::10::claude-sonnet-5::001"", ""baseline::y2::10::claude-sonnet-5::002"", ""baseline::y2::10::claude-sonnet-5::003"", ""baseline::y2::10::claude-sonnet-5::004"", ""baseline::y2::10::claude-sonnet-5::005""]","[""baseline::y2::10::gemini-3.1-pro-preview::001"", ""baseline::y2::10::gemini-3.1-pro-preview::002"", ""baseline::y2::10::gemini-3.1-pro-preview::003"", ""baseline::y2::10::gemini-3.1-pro-preview::004"", ""baseline::y2::10::gemini-3.1-pro-preview::005""]","[""baseline::y2::10::gpt-5.5::001"", ""baseline::y2::10::gpt-5.5::002"", ""baseline::y2::10::gpt-5.5::003"", ""baseline::y2::10::gpt-5.5::004"", ""baseline::y2::10::gpt-5.5::005""]","[""baseline::y2::10::claude-sonnet-5::001"", ""baseline::y2::10::claude-sonnet-5::002"", ""baseline::y2::10::claude-sonnet-5::003"", ""baseline::y2::10::claude-sonnet-5::004"", ""baseline::y2::10::claude-sonnet-5::005"", ""baseline::y2::10::gpt-5.5::001"", ""baseline::y2::10::gpt-5.5::002"", ""baseline::y2::10::gpt-5.5::003"", ""baseline::y2::10::gpt-5.5::004"", ""baseline::y2::10::gpt-5.5::005"", ""baseline::y2::10::gemini-3.1-pro-preview::001"", ""baseline::y2::10::gemini-3.1-pro-preview::002"", ""baseline::y2::10::gemini-3.1-pro-preview::003"", ""baseline::y2::10::gemini-3.1-pro-preview::004"", ""baseline::y2::10::gemini-3.1-pro-preview::005""]"
baseline,y2::11,y2,11,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,4,4,5,5,5,15,True,True,True,True,"[""y2::11::1::01"", ""y2::11::2::01"", ""y2::11::3::01"", ""y2::11::4::01""]","[""baseline::y2::11::claude-sonnet-5::001"", ""baseline::y2::11::claude-sonnet-5::002"", ""baseline::y2::11::claude-sonnet-5::003"", ""baseline::y2::11::claude-sonnet-5::004"", ""baseline::y2::11::claude-sonnet-5::005""]","[""baseline::y2::11::gemini-3.1-pro-preview::001"", ""baseline::y2::11::gemini-3.1-pro-preview::002"", ""baseline::y2::11::gemini-3.1-pro-preview::003"", ""baseline::y2::11::gemini-3.1-pro-preview::004"", ""baseline::y2::11::gemini-3.1-pro-preview::005""]","[""baseline::y2::11::gpt-5.5::001"", ""baseline::y2::11::gpt-5.5::002"", ""baseline::y2::11::gpt-5.5::003"", ""baseline::y2::11::gpt-5.5::004"", ""baseline::y2::11::gpt-5.5::005""]","[""baseline::y2::11::claude-sonnet-5::001"", ""baseline::y2::11::claude-sonnet-5::002"", ""baseline::y2::11::claude-sonnet-5::003"", ""baseline::y2::11::claude-sonnet-5::004"", ""baseline::y2::11::claude-sonnet-5::005"", ""baseline::y2::11::gpt-5.5::001"", ""baseline::y2::11::gpt-5.5::002"", ""baseline::y2::11::gpt-5.5::003"", ""baseline::y2::11::gpt-5.5::004"", ""baseline::y2::11::gpt-5.5::005"", ""baseline::y2::11::gemini-3.1-pro-preview::001"", ""baseline::y2::11::gemini-3.1-pro-preview::002"", ""baseline::y2::11::gemini-3.1-pro-preview::003"", ""baseline::y2::11::gemini-3.1-pro-preview::004"", ""baseline::y2::11::gemini-3.1-pro-preview::005""]"
baseline,y2::2,y2,2,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,3,3,5,5,5,15,True,True,True,True,"[""y2::2::1::01"", ""y2::2::2::01"", ""y2::2::3::01""]","[""baseline::y2::2::claude-sonnet-5::001"", ""baseline::y2::2::claude-sonnet-5::002"", ""baseline::y2::2::claude-sonnet-5::003"", ""baseline::y2::2::claude-sonnet-5::004"", ""baseline::y2::2::claude-sonnet-5::005""]","[""baseline::y2::2::gemini-3.1-pro-preview::001"", ""baseline::y2::2::gemini-3.1-pro-preview::002"", ""baseline::y2::2::gemini-3.1-pro-preview::003"", ""baseline::y2::2::gemini-3.1-pro-preview::004"", ""baseline::y2::2::gemini-3.1-pro-preview::005""]","[""baseline::y2::2::gpt-5.5::001"", ""baseline::y2::2::gpt-5.5::002"", ""baseline::y2::2::gpt-5.5::003"", ""baseline::y2::2::gpt-5.5::004"", ""baseline::y2::2::gpt-5.5::005""]","[""baseline::y2::2::claude-sonnet-5::001"", ""baseline::y2::2::claude-sonnet-5::002"", ""baseline::y2::2::claude-sonnet-5::003"", ""baseline::y2::2::claude-sonnet-5::004"", ""baseline::y2::2::claude-sonnet-5::005"", ""baseline::y2::2::gpt-5.5::001"", ""baseline::y2::2::gpt-5.5::002"", ""baseline::y2::2::gpt-5.5::003"", ""baseline::y2::2::gpt-5.5::004"", ""baseline::y2::2::gpt-5.5::005"", ""baseline::y2::2::gemini-3.1-pro-preview::001"", ""baseline::y2::2::gemini-3.1-pro-preview::002"", ""baseline::y2::2::gemini-3.1-pro-preview::003"", ""baseline::y2::2::gemini-3.1-pro-preview::004"", ""baseline::y2::2::gemini-3.1-pro-preview::005""]"
baseline,y2::3,y2,3,Deciphering systemic biological networks through AI-driven multi-omic integration,4,4,5,0,5,10,True,False,True,True,"[""y2::3::1::01"", ""y2::3::2::01"", ""y2::3::3::01"", ""y2::3::4::01""]","[""baseline::y2::3::claude-sonnet-5::001"", ""baseline::y2::3::claude-sonnet-5::002"", ""baseline::y2::3::claude-sonnet-5::003"", ""baseline::y2::3::claude-sonnet-5::004"", ""baseline::y2::3::claude-sonnet-5::005""]",[],"[""baseline::y2::3::gpt-5.5::001"", ""baseline::y2::3::gpt-5.5::002"", ""baseline::y2::3::gpt-5.5::003"", ""baseline::y2::3::gpt-5.5::004"", ""baseline::y2::3::gpt-5.5::005""]","[""baseline::y2::3::claude-sonnet-5::001"", ""baseline::y2::3::claude-sonnet-5::002"", ""baseline::y2::3::claude-sonnet-5::003"", ""baseline::y2::3::claude-sonnet-5::004"", ""baseline::y2::3::claude-sonnet-5::005"", ""baseline::y2::3::gpt-5.5::001"", ""baseline::y2::3::gpt-5.5::002"", ""baseline::y2::3::gpt-5.5::003"", ""baseline::y2::3::gpt-5.5::004"", ""baseline::y2::3::gpt-5.5::005""]"
baseline,y2::4,y2,4,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,2,2,5,5,5,15,True,True,True,True,"[""y2::4::1::01"", ""y2::4::2::01""]","[""baseline::y2::4::claude-sonnet-5::001"", ""baseline::y2::4::claude-sonnet-5::002"", ""baseline::y2::4::claude-sonnet-5::003"", ""baseline::y2::4::claude-sonnet-5::004"", ""baseline::y2::4::claude-sonnet-5::005""]","[""baseline::y2::4::gemini-3.1-pro-preview::001"", ""baseline::y2::4::gemini-3.1-pro-preview::002"", ""baseline::y2::4::gemini-3.1-pro-preview::003"", ""baseline::y2::4::gemini-3.1-pro-preview::004"", ""baseline::y2::4::gemini-3.1-pro-preview::005""]","[""baseline::y2::4::gpt-5.5::001"", ""baseline::y2::4::gpt-5.5::002"", ""baseline::y2::4::gpt-5.5::003"", ""baseline::y2::4::gpt-5.5::004"", ""baseline::y2::4::gpt-5.5::005""]","[""baseline::y2::4::claude-sonnet-5::001"", ""baseline::y2::4::claude-sonnet-5::002"", ""baseline::y2::4::claude-sonnet-5::003"", ""baseline::y2::4::claude-sonnet-5::004"", ""baseline::y2::4::claude-sonnet-5::005"", ""baseline::y2::4::gpt-5.5::001"", ""baseline::y2::4::gpt-5.5::002"", ""baseline::y2::4::gpt-5.5::003"", ""baseline::y2::4::gpt-5.5::004"", ""baseline::y2::4::gpt-5.5::005"", ""baseline::y2::4::gemini-3.1-pro-preview::001"", ""baseline::y2::4::gemini-3.1-pro-preview::002"", ""baseline::y2::4::gemini-3.1-pro-preview::003"", ""baseline::y2::4::gemini-3.1-pro-preview::004"", ""baseline::y2::4::gemini-3.1-pro-preview::005""]"
baseline,y2::5,y2,5,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,4,4,5,5,5,15,True,True,True,True,"[""y2::5::1::01"", ""y2::5::2::01"", ""y2::5::3::01"", ""y2::5::4::01""]","[""baseline::y2::5::claude-sonnet-5::001"", ""baseline::y2::5::claude-sonnet-5::002"", ""baseline::y2::5::claude-sonnet-5::003"", ""baseline::y2::5::claude-sonnet-5::004"", ""baseline::y2::5::claude-sonnet-5::005""]","[""baseline::y2::5::gemini-3.1-pro-preview::001"", ""baseline::y2::5::gemini-3.1-pro-preview::002"", ""baseline::y2::5::gemini-3.1-pro-preview::003"", ""baseline::y2::5::gemini-3.1-pro-preview::004"", ""baseline::y2::5::gemini-3.1-pro-preview::005""]","[""baseline::y2::5::gpt-5.5::001"", ""baseline::y2::5::gpt-5.5::002"", ""baseline::y2::5::gpt-5.5::003"", ""baseline::y2::5::gpt-5.5::004"", ""baseline::y2::5::gpt-5.5::005""]","[""baseline::y2::5::claude-sonnet-5::001"", ""baseline::y2::5::claude-sonnet-5::002"", ""baseline::y2::5::claude-sonnet-5::003"", ""baseline::y2::5::claude-sonnet-5::004"", ""baseline::y2::5::claude-sonnet-5::005"", ""baseline::y2::5::gpt-5.5::001"", ""baseline::y2::5::gpt-5.5::002"", ""baseline::y2::5::gpt-5.5::003"", ""baseline::y2::5::gpt-5.5::004"", ""baseline::y2::5::gpt-5.5::005"", ""baseline::y2::5::gemini-3.1-pro-preview::001"", ""baseline::y2::5::gemini-3.1-pro-preview::002"", ""baseline::y2::5::gemini-3.1-pro-preview::003"", ""baseline::y2::5::gemini-3.1-pro-preview::004"", ""baseline::y2::5::gemini-3.1-pro-preview::005""]"
baseline,y2::6,y2,6,Revealing the Ontology of Allostery through Community-Scale Synthesis,4,4,5,5,5,15,True,True,True,True,"[""y2::6::1::01"", ""y2::6::2::01"", ""y2::6::3::01"", ""y2::6::4::01""]","[""baseline::y2::6::claude-sonnet-5::001"", ""baseline::y2::6::claude-sonnet-5::002"", ""baseline::y2::6::claude-sonnet-5::003"", ""baseline::y2::6::claude-sonnet-5::004"", ""baseline::y2::6::claude-sonnet-5::005""]","[""baseline::y2::6::gemini-3.1-pro-preview::001"", ""baseline::y2::6::gemini-3.1-pro-preview::002"", ""baseline::y2::6::gemini-3.1-pro-preview::003"", ""baseline::y2::6::gemini-3.1-pro-preview::004"", ""baseline::y2::6::gemini-3.1-pro-preview::005""]","[""baseline::y2::6::gpt-5.5::001"", ""baseline::y2::6::gpt-5.5::002"", ""baseline::y2::6::gpt-5.5::003"", ""baseline::y2::6::gpt-5.5::004"", ""baseline::y2::6::gpt-5.5::005""]","[""baseline::y2::6::claude-sonnet-5::001"", ""baseline::y2::6::claude-sonnet-5::002"", ""baseline::y2::6::claude-sonnet-5::003"", ""baseline::y2::6::claude-sonnet-5::004"", ""baseline::y2::6::claude-sonnet-5::005"", ""baseline::y2::6::gpt-5.5::001"", ""baseline::y2::6::gpt-5.5::002"", ""baseline::y2::6::gpt-5.5::003"", ""baseline::y2::6::gpt-5.5::004"", ""baseline::y2::6::gpt-5.5::005"", ""baseline::y2::6::gemini-3.1-pro-preview::001"", ""baseline::y2::6::gemini-3.1-pro-preview::002"", ""baseline::y2::6::gemini-3.1-pro-preview::003"", ""baseline::y2::6::gemini-3.1-pro-preview::004"", ""baseline::y2::6::gemini-3.1-pro-preview::005""]"
baseline,y2::7,y2,7,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,4,4,5,5,5,15,True,True,True,True,"[""y2::7::1::01"", ""y2::7::2::01"", ""y2::7::3::01"", ""y2::7::4::01""]","[""baseline::y2::7::claude-sonnet-5::001"", ""baseline::y2::7::claude-sonnet-5::002"", ""baseline::y2::7::claude-sonnet-5::003"", ""baseline::y2::7::claude-sonnet-5::004"", ""baseline::y2::7::claude-sonnet-5::005""]","[""baseline::y2::7::gemini-3.1-pro-preview::001"", ""baseline::y2::7::gemini-3.1-pro-preview::002"", ""baseline::y2::7::gemini-3.1-pro-preview::003"", ""baseline::y2::7::gemini-3.1-pro-preview::004"", ""baseline::y2::7::gemini-3.1-pro-preview::005""]","[""baseline::y2::7::gpt-5.5::001"", ""baseline::y2::7::gpt-5.5::002"", ""baseline::y2::7::gpt-5.5::003"", ""baseline::y2::7::gpt-5.5::004"", ""baseline::y2::7::gpt-5.5::005""]","[""baseline::y2::7::claude-sonnet-5::001"", ""baseline::y2::7::claude-sonnet-5::002"", ""baseline::y2::7::claude-sonnet-5::003"", ""baseline::y2::7::claude-sonnet-5::004"", ""baseline::y2::7::claude-sonnet-5::005"", ""baseline::y2::7::gpt-5.5::001"", ""baseline::y2::7::gpt-5.5::002"", ""baseline::y2::7::gpt-5.5::003"", ""baseline::y2::7::gpt-5.5::004"", ""baseline::y2::7::gpt-5.5::005"", ""baseline::y2::7::gemini-3.1-pro-preview::001"", ""baseline::y2::7::gemini-3.1-pro-preview::002"", ""baseline::y2::7::gemini-3.1-pro-preview::003"", ""baseline::y2::7::gemini-3.1-pro-preview::004"", ""baseline::y2::7::gemini-3.1-pro-preview::005""]"
baseline,y2::8,y2,8,A Unified Framework for Analyses of Proteome Turnover Dynamics,3,3,5,0,5,10,True,False,True,True,"[""y2::8::1::01"", ""y2::8::2::01"", ""y2::8::3::01""]","[""baseline::y2::8::claude-sonnet-5::001"", ""baseline::y2::8::claude-sonnet-5::002"", ""baseline::y2::8::claude-sonnet-5::003"", ""baseline::y2::8::claude-sonnet-5::004"", ""baseline::y2::8::claude-sonnet-5::005""]",[],"[""baseline::y2::8::gpt-5.5::001"", ""baseline::y2::8::gpt-5.5::002"", ""baseline::y2::8::gpt-5.5::003"", ""baseline::y2::8::gpt-5.5::004"", ""baseline::y2::8::gpt-5.5::005""]","[""baseline::y2::8::claude-sonnet-5::001"", ""baseline::y2::8::claude-sonnet-5::002"", ""baseline::y2::8::claude-sonnet-5::003"", ""baseline::y2::8::claude-sonnet-5::004"", ""baseline::y2::8::claude-sonnet-5::005"", ""baseline::y2::8::gpt-5.5::001"", ""baseline::y2::8::gpt-5.5::002"", ""baseline::y2::8::gpt-5.5::003"", ""baseline::y2::8::gpt-5.5::004"", ""baseline::y2::8::gpt-5.5::005""]"
baseline,y2::9,y2,9,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,4,4,5,5,5,15,True,True,True,True,"[""y2::9::1::01"", ""y2::9::2::01"", ""y2::9::3::01"", ""y2::9::4::01""]","[""baseline::y2::9::claude-sonnet-5::001"", ""baseline::y2::9::claude-sonnet-5::002"", ""baseline::y2::9::claude-sonnet-5::003"", ""baseline::y2::9::claude-sonnet-5::004"", ""baseline::y2::9::claude-sonnet-5::005""]","[""baseline::y2::9::gemini-3.1-pro-preview::001"", ""baseline::y2::9::gemini-3.1-pro-preview::002"", ""baseline::y2::9::gemini-3.1-pro-preview::003"", ""baseline::y2::9::gemini-3.1-pro-preview::004"", ""baseline::y2::9::gemini-3.1-pro-preview::005""]","[""baseline::y2::9::gpt-5.5::001"", ""baseline::y2::9::gpt-5.5::002"", ""baseline::y2::9::gpt-5.5::003"", ""baseline::y2::9::gpt-5.5::004"", ""baseline::y2::9::gpt-5.5::005""]","[""baseline::y2::9::claude-sonnet-5::001"", ""baseline::y2::9::claude-sonnet-5::002"", ""baseline::y2::9::claude-sonnet-5::003"", ""baseline::y2::9::claude-sonnet-5::004"", ""baseline::y2::9::claude-sonnet-5::005"", ""baseline::y2::9::gpt-5.5::001"", ""baseline::y2::9::gpt-5.5::002"", ""baseline::y2::9::gpt-5.5::003"", ""baseline::y2::9::gpt-5.5::004"", ""baseline::y2::9::gpt-5.5::005"", ""baseline::y2::9::gemini-3.1-pro-preview::001"", ""baseline::y2::9::gemini-3.1-pro-preview::002"", ""baseline::y2::9::gemini-3.1-pro-preview::003"", ""baseline::y2::9::gemini-3.1-pro-preview::004"", ""baseline::y2::9::gemini-3.1-pro-preview::005""]"
